page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/30134/,Маска сокращающая специальная / Special Mask MASKS 70 мл,1750,"Сокращающая маска для жирной, пористой и себорейной кожи с явлениями гиперкератоза и/или акне легкой и средней степеней тяжести. Эффективно использовать при постакне (рубцы, застойные синюшные пятна), раздраженной коже, розацеа.  Противовоспалительное и антисептическое действие. ...                             ",4.91,99,маска
www.proficosmetics.ru/catalog/102747/,Маска себорегулирующая / Essential Mask 300 мл,1560,"Маска с матирующим и себорегулирующим эффектом для жирной и комбинированной кожи. Пастообразная эмульсия глубоко очищает и сужает поры, регулирует деятельность сальных желёз. Оказывает матирующее действие, адсорбируя излишки кожного себума. Обладает успокаивающим действием, способствуя...                             ",4.81,84,маска
www.proficosmetics.ru/catalog/25626/,Маска грязевая / Mud Mask For Oil Skin SOLAR ENERGY 75 мл,3090,"Этот продукт уникален по составу и производимому на кожу эффекту и широко используется не только косметологами, но и дерматологами, в частности, для лечения демодекоза. Благодаря уникальному составу и свойствам маска является панацеей от вечных бед:...                             ",4.73,84,маска
www.proficosmetics.ru/catalog/72394/,Крем-маска с фруктовыми кислотами Эксфолиант 100 мл,660,"Крем-маска с фруктовыми кислотами – мягкий химический пилинг для любого типа кожи и возраста. Значительно улучшает состояние ЖИРНОЙ и ПРОБЛЕМНОЙ кожи в постакне-период, сглаживает рубцы, оставшиеся после угрей, бережно обновляет и увлажняет СУХУЮ кожу, обеспечивает тонизирующий и освежающий эффект...                             ",4.79,57,маска
www.proficosmetics.ru/catalog/108926/,Маска очищающая с активированным углем / Purifying Detox Mask 150 мл,630,"Натуральная порошкообразная очищающая маска для всех типов кожи с эффектом детоксикации. Сочетание активированного угля, натуральной белой и голубой глины, обеспечивает адсорбцию излишков кожного сала и продуктов метаболизма, не нарушает липидный барьер. Маска глубоко очищает и сужает поры,...                             ",4.82,54,маска
www.proficosmetics.ru/catalog/142232/,Маска-уход для проблемной и жирной кожи / ARAVIA Professional Anti-Acne Intensive 150 мл ,765,"Профессиональная маска для интенсивного ухода за проблемной кожей лица. Изготовлена на основе биоактивного хлорофилл-каротинового комплекса. Оказывает интенсивное успокаивающее, бактерицидное и себорегулирующее действие, способствует устранению акне, комедонов, постакне и шелушения, снимает...                             ",4.67,49,маска
www.proficosmetics.ru/catalog/159547/,Маска для лица очищающая с глиной и АНА-кислотами 100 мл,840,"Комфортная и эффективная очищающая маска на основе зелёной глины и AHA-кислот. Маска тщательно удаляет загрязнения и остатки себума, глубоко очищает поры, способствует их сужению.  Назначение: глубокое очищение кожи, эксфолиация.                             ",4.87,30,маска
www.proficosmetics.ru/catalog/102738/,Маска успокаивающая после чистки / Soothing Mask 300 мл,1211,"Маска с экстрактом босвеллии (индийского ладана), календулой и аллантоином для профессионального ухода за жирной проблемной кожей после механической или ультразвуковой чистки. Быстро снимает покраснения, оказывает успокаивающее и рассасывающее действие. Сужает поры, заживляет...                             ",4.44,17,маска
www.proficosmetics.ru/catalog/62599/,"Маска альгинатная для лица, белая ива + чайное дерево 25 г",295,"Оказывает адсорбирующее и противовоспалительное действие, регулирует деятельность сальных желез, способствует снижению воспалительных высыпаний, обеспечивает легкий охлаждающий эффект. Рекомендуется курсовое применение. Активные ингредиенты: диатомовая земля, альгинат натрия, эфирное масло чайного...                             ",5.0,14,маска
www.proficosmetics.ru/catalog/45265/,Пудра Комплексная для жирной кожи лица / Jet cosmetics 50 мл,830,"Препарат для ухода за жирной и жирной, осложненной акне кожей. Инновационный препарат твердофазной косметики, не имеющий аналогов. Состоит из 100% натуральных компонентов. Не содержит висмута, силикона, талька, консервантов, масел, отдушек и вредных красителей. Обладает превосходным декорирующим...                             ",4.7,14,маска
