page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/93976/,Биоконцентрат пептид-актив анти-акне для проблемной кожи 15 мл,830,"Предназначен для комплексного ухода за жирной проблемной кожей в процедурах салонного ухода. Эффективно воздействует на причины, приводящие к образованию комедонов, воспалительных элементов и других проявлений акне. Восстанавливает естественное значение кислотности среды. Подавляет рост...                             ",4.0,2,концентрат
www.proficosmetics.ru/catalog/27173/,Концентрат Нормализующий жирность кожи 10*2 мл,487,"Концентрат для жирной проблемной, склонной к воспалению кожи. Препарат способствует нормализации состояния жирной проблемной кожи. Регулирует работу сальных желез, снимает раздражение, успокаивает, предотвращает развитие воспалительных процессов. Хорошо тонизирует и увлажняет кожу. Растительные...                             ",3.5,2,концентрат
www.proficosmetics.ru/catalog/1244867/,Ампула-концентрат стоп-акне для лица / ACNESHOT AMPOULE 30 мл,2940,"Ампула-концентрат стоп-акне для лица ACNE SHOT AMPOULE обеспечивает мощнейший противовоспалительный результат, сравнимый со свойствами антибиотиков. Обладает сильным антимикробным (бактерицидным, фунгицидным, вируцидным) действием. Нормализует себорегуляцию. Снимает болевые ощущения, уменьшает...                             ",5.0,1,концентрат
www.proficosmetics.ru/catalog/607984/,Концентрат ампульный Витаминная бомба / VC SHOT AMPOULE 100 мл ,5460,"Концентрат ампульный Витаминная бомба VC SHOT AMPOULE. Стабилизированный витамин С, ниацинамид, арбутин и экстракт облепихи в сбалансированной формуле тройного замка блокируют причины возникновения пигментации на уровне ингибирования тирозиназы и образования меланина. Кристаллы витамина С при...                             ",5.0,1,концентрат
www.proficosmetics.ru/catalog/607983/,Концентрат ампульный Витаминная бомба / VC SHOT AMPOULE 30 мл ,3150,"Концентрат ампульный Витаминная бомба VC SHOT AMPOULE. Стабилизированный витамин С, ниацинамид, арбутин и экстракт облепихи в сбалансированной формуле тройного замка блокируют причины возникновения пигментации на уровне ингибирования тирозиназы и образования меланина. Кристаллы витамина С при...                             ",5.0,1,концентрат
www.proficosmetics.ru/catalog/26301/,Крем восстанавливающий / Restoring Cream ALPHA-BETA 50 мл,4510,"Интенсивно восстанавливающий и выравнивающий крем, содержит максимальную концентрацию активных ингредиентов линии. Способствует обновлению эпидермиса.  Выравнивает поверхность и цвет кожи, осветляет пятна.  Растворяет открытые и закрытые комедоны, сокращает поры.  Стимулирует синтез...                             ",4.8,99,крем или лосьон
www.proficosmetics.ru/catalog/159540/,Крем интенсивно увлажняющий для лица с мочевиной 10% / Intensive Moisture 150 мл,556,"Лёгкий, быстро впитывающийся крем с мочевиной (urea 10%). Предназначен для сухой кожи, склонной к появлению шелушений. Крем мгновенно увлажняет кожу, повышает её барьерные свойства, способствует снижению трансэпидермальной потери влаги. Рекомендуется при водном дисбалансе, сильном шелушении,...                             ",4.8,49,крем или лосьон
www.proficosmetics.ru/catalog/84179/,Крем гидроактивный / Multi Hydrating Cream 50 мл,4085,"Дневной крем с интенсивным увлажняющим действием для всех типов кожи. Способствует глубокому увлажнению кожи и повышает способность клеток дермы удерживать влагу. За счет этого кожа сохраняет необходимый уровень гидратации в течение всего дня. Крем способствует устранению сухости кожи, а также...                             ",4.79,49,крем или лосьон
www.proficosmetics.ru/catalog/27478/,Крем регенерирующий ночной / Homework 50 мл,1655,Средство для интенсивного ухода с выраженным регенерирующим действием. Стимулирует обменные процессы в коже. Способствует обновлению клеток кожи. Обладает иммуномодулирующим эффектом. Улучшает эластичность и тургор кожи. Замедляет образование морщин.                             ,4.79,36,крем или лосьон
www.proficosmetics.ru/catalog/30767/,Крем увлажняющий для жирной и проблемной кожи / Moisturizer LIPACID 100 мл,3970,"Мягкий крем на легкой нежирной основе. Идеально подходит под макияж. Обладает выраженным противовоспалительным, антибактериальным и кератолитическим действием, способствует заживлению мелких ранок и трещин, уменьшает сальность кожи. Активизирует обменные процессы в коже и нормализует водно-липидный...                             ",4.86,33,крем или лосьон
