page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/111697/,Фитотоник / Slim 270 мл,1510,"Гипоаллергенный тоник с комплексом растительных экстрактов, оказывающих противовоспалительное и себостатическое действие. Освежает. Тонизирует. Нормализует рН-баланс кожи. Предотвращает появление воспалительных элементов. Благотворно влияет на обмен липидов и иммунный статус кожи. Активные...                             ",5.0,9,тоник
www.proficosmetics.ru/catalog/111740/,Тоник очищающий балансирующий / Purify & Balance Toner Comodex 300 мл,2960,"Завершает процесс очищения после демакияжа и/или поверхностного очищения. Удаляет излишки кожного сала и жирный блеск, суживает поры. Обладает антибактериальным действием, подсушивает воспалительные элементы на коже и предотвращает появление новых. Благодаря экстракту эвкалипта и ментолу быстро...                             ",5.0,9,тоник
www.proficosmetics.ru/catalog/3063714/,Тоник очищающий с АНА-кислотами / АНА-Cleansing Tonic 250 мл,826,"Тоник для лица с комплексом AHA кислот мягко отшелушивает и обновляет кожу. При регулярном применении выравнивает рельеф и тон кожи, улучшает цвет лица, устраняет постакне, пигментацию и рубцы, борется с возрастными изменениями, сокращает глубину морщин, повышает упругость и эластичность. Тоник...                             ",5.0,7,тоник
www.proficosmetics.ru/catalog/134302/,Тоник для нормальной и комбинированной кожи лица / COMBI TONER 400 мл,1835,"Тоник для нормальной и комбинированной кожи лица COMBI TONER - очищающий тоник улучшает общее состояние кожи и восстанавливает природное равновесие: сужает поры, уменьшает сальность Т-зоны и восстанавливает водный баланс кожи. 1. Комплекс для ухода за себорейной кожей нормализует выработку кожного...                             ",5.0,5,тоник
www.proficosmetics.ru/catalog/157300/,Тоник очищающий для жирной и проблемной кожи лица 200 мл,1053,"Тоник очищающий для жирной и проблемной кожи лица - специальное средство себорегулирующего, антибактериального и противовоспалительного действия для ухода за жирной и проблемной кожей, склонной к акне. Бережно очищает кожу, препятствуя развитию патогенной микрофлоры. Активный комплекс олеаноловой и...                             ",5.0,5,тоник
www.proficosmetics.ru/catalog/28084/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 250 мл,3420,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99,лосьон
www.proficosmetics.ru/catalog/28083/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 125 мл,2380,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99,лосьон
www.proficosmetics.ru/catalog/28073/,Лосьон для лица / Face Lotion DOUBLE ACTION 250 мл,2330,Спиртовой лосьон для жирной и проблемной кожи лица и тела. Благодаря высокому содержанию эфирных масел не сушит кожу. Эффективно очищает кожу от загрязнений и избыточного секрета сальных желез.  Дезинфицирует.  Сокращает поры.  Ускоряет заживление повреждений кожи.  Уменьшает...                             ,5.0,33,лосьон
www.proficosmetics.ru/catalog/28197/,Лосьон с гамамелисом / Hamamelis LOTIONS 250 мл,1580,"Поросуживающий, антисептический лосьон для жирной и проблемной кожи. Очищающее, антисептическое и противозудное действие. Сокращение пор, снижение секреции сальных желез. Уменьшение раздражения кожи. Активные ингредиенты: Экстракт гамамелиса оказывает противовоспалительное, антисептическое,...                             ",4.88,33,лосьон
www.proficosmetics.ru/catalog/152007/,Лосьон для глубокого очищения пор / Pore-Clean Lotion 250 мл,766,"Профессиональный лосьон. Способствует размягчению комедонов, глубоко очищает поры, обеспечивает отшелушивание верхнего рогового слоя, снимает поверхностный гиперкератоз. Вытяжка из цветов ромашки оказывает успокаивающее и бактерицидное действие на кожу, способствует быстрому снятию покраснений....                             ",4.69,16,лосьон
www.proficosmetics.ru/catalog/25626/,Маска грязевая / Mud Mask For Oil Skin SOLAR ENERGY 75 мл,3090,"Этот продукт уникален по составу и производимому на кожу эффекту и широко используется не только косметологами, но и дерматологами, в частности, для лечения демодекоза. Благодаря уникальному составу и свойствам маска является панацеей от вечных бед:...                             ",4.73,84,маска
www.proficosmetics.ru/catalog/99058/,Полоски для глубокого очищения пор носа / Nose pore cleansing strips,250,"Полоски для глубокого очищения пор носа мгновенно очищают загрязнённые поры и удаляют чёрные точки. Полоски устраняют грязь и секрецию сальных желёз, мешающие порам дышать, делая вашу кожу чистой и гладкой. Вы почувствуете эффект уже после первого применения, а постоянное применение полосок для...                             ",4.44,9,маска
www.proficosmetics.ru/catalog/163064/,Маска тканевая с углем для лица / VISIBLE DIFFERENCE MASK 23 мл,56,"Тканевая маска с углем нормализует работу сальных желез, устраняет излишки кожного жира. Глубоко очищает поры от загрязнений. Лечит очаги воспаления (прыщи и угри). Кожный рельеф заметно разглаживается. Средство поможет быстро вернуть коже шелковистость, подготовит к нанесению макияжа, защитит от...                             ",4.71,7,маска
www.proficosmetics.ru/catalog/118256/,Программа обновления для проблемной и комбинированной кожи (В) / ESTELARE 28 г,320,"Программа обновления с BHA-кислотой является специально разработанной процедурой, предназначенной для быстрого достижения результатов преображения и омоложения кожи. Эффективно корректирует дефекты кожи: черные точки, тусклый цвет, следы постакне, пигментные пятна, мелкие морщинки. Применяется для...                             ",4.83,6,маска
www.proficosmetics.ru/catalog/147536/,Паста хлорофилл-каротиновая для лица / Homework 50 мл ,1055,"Паста хлорофилл-каротиновая для лица Homework - препарат для комплексной коррекции угревых высыпаний. Уход за жирной кожей, осложненной угревой сыпью, в т.ч.с таким явлением постакне как застойные пятна (последствие перенесенного акне). Снижает секрецию кожного сала. Устраняет сальные пробки и...                             ",4.33,6,маска
