page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/26683/,Крем защитный дневной / Day Care BIO REPAIR 50 мл,3330,"Дневной крем для кожи любого типа. Увлажняет и питает кожу, обеспечивая превосходный уход за ней на протяжении всего дня. Крем имеет мягкую текстуру, легко впитывается, не оставляя пленки на лице, подходит в качестве основы под макияж. Крем восстанавливает кожу, способствует заживлению...                             ",4.68,66,крем
www.proficosmetics.ru/catalog/72382/,Крем для чувствительной кожи склонной к куперозу 50 мл,730,"Действие: крем предназначен для ухода за чувствительной кожей, склонной к куперозу, повышения ее устойчивости к внешним раздражителям. Регулярное применение крема эффективно выравнивает цвет и рельеф кожи, дарит ощущение комфорта и свежести. Рекомендуется для ухода за кожей, склонной к куперозу и...                             ",4.48,23,крем
www.proficosmetics.ru/catalog/50849/,Крем Новая Эра / Active Beautifying Cream NEW AGE CONTROL 50 мл,3100,"Восстанавливающий, отшелушивающий крем с АНА-кислотами для нормальной, сухой/увядающей кожи. В случае возрастной кожи оказывает стимулирующее, омолаживающее действие. При куперозе препарат дает хорошие стойкие результаты: увеличивается оптическая плотность кожи, капиллярная сетка уменьшается, кожа...                             ",4.93,15,крем
www.proficosmetics.ru/catalog/86112/,Крем Красный клевер 50 мл,1340,"Легкий питательный крем разработан для ухода за чувствительной кожей склонной к куперозу. Экстракты трав комплексно воздействуют на кожу. Красный клевер повышает тонус сосудов. Тимьян уменьшает красноту и успокаивает кожу. Рутин нормализует проницаемость капилляров, что способствует устранению...                             ",4.79,15,крем
www.proficosmetics.ru/catalog/62791/,Крем-гель с AHA-кислотами / AHA Cream Gel ALODEM 50 мл,1830,"Препарат содержит молочную кислоту и экстракт ананаса, богатый ферментами, и предназначен для отшелушивания мертвых клеток эпидермиса и активизации процессов обновления кожи. Постепенно укрепляет тонкую кожу и восстанавливает ее упругость. Гиалуроновая кислота, входящая в состав препарата...                             ",4.42,13,крем
www.proficosmetics.ru/catalog/64008/,Крем деликатный увлажняющий / Delicate Moisturizer ALODEM 75 мл,2985,"Крем деликатный увлажняющий питает смягчает и увлажняет кожу, защищает липидный барьер. Специальные ингредиенты придают коже гладкость и шелковистость. Специальная формула крема легко впитывается. Средство рекомендовано для кожи склонной к покраснениям.                             ",5.0,12,крем
www.proficosmetics.ru/catalog/104006/,Крем контурный для век / Eye Contour Cream NUTRI-PEPTIDE 20 мл,3930,"Высокоактивный крем для ухода за деликатной областью вокруг глаз. Содержит уникальный комплекс капсул с экстрактом водорослей и пептидом, стимулирующий выработку жизненно важной энергии, необходимой для регенерации коллагеновых волокон. Кроме того, крем содержит уникальный комплекс...                             ",4.27,12,крем
www.proficosmetics.ru/catalog/914967/,"Крем капилляропротектор для кожи склонной к куперозу, усиленная формула 50 мл",581,"Крем капилляропротектор, усиленная формула, обеспечивает эффективный комплексный уход за кожей, имеющей склонность к куперозу и покраснениям. Обладает выраженным успокаивающим, увлажняющим и восстанавливающим действием. Способствует уменьшению интенсивности покраснения кожи, связанного с наличием...                             ",4.73,11,крем
www.proficosmetics.ru/catalog/171880/,Крем для лица активное увлажнение / Active Hydrating Cream 24H 100 мл,1575,"Лёгкий крем на основе гиалуроновой кислоты и мочевины (5%) создан для максимального и длительного увлажнения кожи. Увлажняющий комплекс устраняет сухость эпидермиса, препятствует трансэпидермальной потере влаги. Крем избавляет от шелушения, восстанавливает эластичность кожи, снимает покраснение и...                             ",4.78,10,крем
www.proficosmetics.ru/catalog/26698/,Крем дневной / Day Cream AZULEN 250 мл,3730,"Классический увлажняющий и смягчающий крем с успокаивающим и легким антикуперозным эффектом. Вариант с более легкой текстурой. Активные ингредиенты: азулен. Способ применения: наносить на очищенную кожу 1 раз в день или как рекомендовано специалистом. Ingredients: WATER (AQUA), ISOPROPYL...                             ",5.0,8,крем
www.proficosmetics.ru/catalog/53096/,Крем питательный для кожи склонной к куперозу / LE PRESTIGE 50 мл,5690,"Специально разработанный питательный крем для сухой и нормальной кожи с повышенной чувствительностью, куперозом и розацеа. Действие препарата направлено на восстановление гидролипидной мантии, уменьшение проявления симптомов гиперреактивности кожи и повышении ее адаптационных возможностей к...                             ",4.71,7,крем
www.proficosmetics.ru/catalog/107090/,Крем CC SPF40 Комфорт 50 мл,690,"СС крем «Комфорт» обладает тройным эффектом Ухаживает за кожей, увлажняет, питает и тонизирует. Укрепляет сосуды и уменьшает красноту, делает кожу эластичной, гладкой и шелковистой. Маскирует неровности тона кожи и мелкие косметические дефекты, выравнивает цвет лица Защищает от повреждающего...                             ",4.2,7,крем
www.proficosmetics.ru/catalog/213435/,Крем-корректор для кожи лица склонной к покраснениям / Redness Corrector Cream 50 мл,609,"Лёгкий крем с капилляроукрепляющим эффектом для ежедневного дневного ухода за кожей, склонной к куперозу. При регулярном применении крема повышается эластичность, выравнивается тон кожи, уменьшается проявление купероза. Благодаря легкой текстуре крем быстро впитывается, обеспечивает комфортное...                             ",4.5,6,крем
www.proficosmetics.ru/catalog/26536/,Гель-крем для жирной кожи / Aqua balance Professional 150 мл,1660,"Воздушная эмульсия для устранения дефицита влаги при уходе за жирной кожей (сухая себорея). Достигается выраженная гидратация, повышается иммунитет, защитные свойства и сопротивляемость воспалительным процессам. Курсовое применение маски способствует устранению раздражения, шелушения кожи,...                             ",4.5,5,крем
