page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/72365/,Крем-маска успокаивающая для всех типов кожи 300 мл,1210,"Успокаивающая крем-маска подходит для кожи любого типа и предназначена для эффективного восстановления кожи после проведения пилингов. Маска глубоко увлажняет и питает кожу, запуская процессы регенерации. Способствует обновлению кожи, разглаживанию морщин и устранению заломов. Маска обладает мощным...                             ",4.86,38,маска
www.proficosmetics.ru/catalog/85255/,Маска противокуперозная / Anti Rougeurs mask Bio Phyto 75 мл,4015,"Предназначена для чувствительной кожи с&amp;nbsp;куперозом: укрепляет сосудистую стенку, устраняет гиперемию, снимает отечность. Обеспечивает кожу необходимой влагой и&amp;nbsp;микроэлементами. Восстанавливает естественный барьер кожи, улучшает ее&amp;nbsp;сопротивляемость внешним...                             ",4.96,29,маска
www.proficosmetics.ru/catalog/158384/,Молочко-маска c фруктовыми кислотами и экстрактом черного гриба 50 мл,1560,"Мягкий фруктовый пилинг в домашнем уходе. Обладает отшелушивающим и стимулирующим действием. Оказывает мгновенный лифтинг. Интенсивно увлажняет, выравнивает тон и микрорельеф кожи, оказывает профилактику купероза. Фруктовые кислоты способствуют обновлению поверхностного слоя кожи, устраняют...                             ",4.81,21,маска
www.proficosmetics.ru/catalog/50777/,Маска Миртовая / Myrtle Mask ALODEM 60 мл,1830,"Гелевая маска с миртовым маслом, обладает приятным успокаивающим запахом. Особенно рекомендуется для куперозной, чувствительной кожи. Присутствие миртового масла предельно уменьшает в составе препарата дозу консервантов, что, в свою очередь, обеспечивает эффективное применение для самой...                             ",4.76,19,маска
www.proficosmetics.ru/catalog/43663/,Маска альгинатная успокаивающая антикуперозная Морской бриз 30 г,131,"Альгинатная успокаивающая антикуперозная маска с Черникой, витамином С и Миоксинолом. Основа маски - натуральные морские водоросли и минералы. Черника и витамин С оказывают мягкое комплексное воздействие на кожу лица, с выраженным успокаивающим эффектом. Нормализует пигментацию, восстанавливает...                             ",4.8,11,маска
www.proficosmetics.ru/catalog/53113/,Маска фруктовая / LE PRESTIGE 100 мл,4225,"Гель-маска с нежной тающей текстурой для любого типа кожи и возраста. Обладает увлажняющим, противовоспалительным, смягчающим и капилляроукрепляющим действием. Устраняет шелушение и раздражение, восстанавливает естественный уровень увлажненности кожи и повышает ее тонус. Экстракты липы, мальвы и...                             ",5.0,10,маска
www.proficosmetics.ru/catalog/81905/,Маска противокуперозная (шаг 6c) / Anti rougeurs mask 6c Bio Phyto 250 мл,7390,Маска противокуперозная (шаг 6c). Эффективно устраняет проявления гиперемии и снимает отечность. Укрепляет стенки кровеносных сосудов. Придает коже свежий и отдохнувший вид.                             ,5.0,9,маска
www.proficosmetics.ru/catalog/136663/,Маска успокаивающая / Delicate Mask 200 мл,4420,"Кремовая маска нежной текстуры снимает зуд, шелушение, чувство стянутости кожи, уменьшает проявления купероза, повышает регенерацию. Октододецил миристат и экстракт каперсов колючих (Gatulin Dermo- Sensitive), входящие в состав маски, обеспечивают мощное успокаивающее и противовоспалительное...                             ",5.0,9,маска
www.proficosmetics.ru/catalog/62598/,"Маска альгинатная для лица, черника + витамин С 25 г",295,"Укрепляет стенки сосудов, улучшает микроциркуляцию, подавляет активность свободных радикалов, успокаивает кожу. Маска рекомендована для чувствительной кожи и эффективна в программах профилактики купероза. Рекомендуется курсовое применение. Активные ингредиенты: диатомовая земля, альгинат натрия,...                             ",5.0,8,маска
www.proficosmetics.ru/catalog/51468/,Гель-маска коллагеновая с софорой японской / Express Protect 30 мл,1485,"Способствует уменьшению признаков купероза благодаря экстракту софоры японской, укрепляет стенки капилляров и улучшает кровообращение, устраняет синяки и отеки. Натуральный трехспиральный коллаген повышает тургор и эластичность, улучшает цвет и выравнивает микрорельеф кожи. Активные ингредиенты:...                             ",4.88,8,маска
www.proficosmetics.ru/catalog/130462/,Маска Красный клевер 100 мл,2250,"Маска разработана для кожи склонной к покраснению и раздражению. Фитоэстрогены сои активизируют микроциркуляцию и повышают тонус. Витамин С стабилизирует поверхностные капилляры и укрепляет их стенку. Масло косточки винограда усиливает защитные функции, восстанавливая липидный барьер и тургор кожи....                             ",4.57,7,маска
www.proficosmetics.ru/catalog/127513/,Маска суперальгинатная противокуперозная / Perfect Algae Homework 17 г + 50 мл,350,"Пластифицирующая маска для ухода за тонкой чувствительной кожей с выраженной сосудистой сеткой. Богатый комплекс из натуральных компонентов (экстракт конского каштана, листья шалфея, плоды боярышника, ламинария, лимон, чай зелёный, петрушка) нормализует проницаемость капилляров, улучшает...                             ",3.86,7,маска
www.proficosmetics.ru/catalog/3065672/,Маска минеральная грязевая для лица с алоэ вера и дуналиеллой 12 мл,105,"Минерально-грязевая маска для лица, созданная при соблюдении всех этичных канонов, на 100% утоляет жажду кожи и дарит ей желанное ощущение свежести! В состав средства входит природное ухаживающее средство — грязь Мертвого моря, которая, вытягивая токсины, глубоко очищает кожу лица и бережно за ней...                             ",5.0,5,маска
