page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/26683/,Крем защитный дневной / Day Care BIO REPAIR 50 мл,3330,"Дневной крем для кожи любого типа. Увлажняет и питает кожу, обеспечивая превосходный уход за ней на протяжении всего дня. Крем имеет мягкую текстуру, легко впитывается, не оставляя пленки на лице, подходит в качестве основы под макияж. Крем восстанавливает кожу, способствует заживлению...                             ",4.68,66,крем
www.proficosmetics.ru/catalog/72382/,Крем для чувствительной кожи склонной к куперозу 50 мл,730,"Действие: крем предназначен для ухода за чувствительной кожей, склонной к куперозу, повышения ее устойчивости к внешним раздражителям. Регулярное применение крема эффективно выравнивает цвет и рельеф кожи, дарит ощущение комфорта и свежести. Рекомендуется для ухода за кожей, склонной к куперозу и...                             ",4.48,23,крем
www.proficosmetics.ru/catalog/50849/,Крем Новая Эра / Active Beautifying Cream NEW AGE CONTROL 50 мл,3100,"Восстанавливающий, отшелушивающий крем с АНА-кислотами для нормальной, сухой/увядающей кожи. В случае возрастной кожи оказывает стимулирующее, омолаживающее действие. При куперозе препарат дает хорошие стойкие результаты: увеличивается оптическая плотность кожи, капиллярная сетка уменьшается, кожа...                             ",4.93,15,крем
www.proficosmetics.ru/catalog/86112/,Крем Красный клевер 50 мл,1340,"Легкий питательный крем разработан для ухода за чувствительной кожей склонной к куперозу. Экстракты трав комплексно воздействуют на кожу. Красный клевер повышает тонус сосудов. Тимьян уменьшает красноту и успокаивает кожу. Рутин нормализует проницаемость капилляров, что способствует устранению...                             ",4.79,15,крем
www.proficosmetics.ru/catalog/62791/,Крем-гель с AHA-кислотами / AHA Cream Gel ALODEM 50 мл,1830,"Препарат содержит молочную кислоту и экстракт ананаса, богатый ферментами, и предназначен для отшелушивания мертвых клеток эпидермиса и активизации процессов обновления кожи. Постепенно укрепляет тонкую кожу и восстанавливает ее упругость. Гиалуроновая кислота, входящая в состав препарата...                             ",4.42,13,крем
www.proficosmetics.ru/catalog/64008/,Крем деликатный увлажняющий / Delicate Moisturizer ALODEM 75 мл,2985,"Крем деликатный увлажняющий питает смягчает и увлажняет кожу, защищает липидный барьер. Специальные ингредиенты придают коже гладкость и шелковистость. Специальная формула крема легко впитывается. Средство рекомендовано для кожи склонной к покраснениям.                             ",5.0,12,крем
www.proficosmetics.ru/catalog/104006/,Крем контурный для век / Eye Contour Cream NUTRI-PEPTIDE 20 мл,3930,"Высокоактивный крем для ухода за деликатной областью вокруг глаз. Содержит уникальный комплекс капсул с экстрактом водорослей и пептидом, стимулирующий выработку жизненно важной энергии, необходимой для регенерации коллагеновых волокон. Кроме того, крем содержит уникальный комплекс...                             ",4.27,12,крем
www.proficosmetics.ru/catalog/914967/,"Крем капилляропротектор для кожи склонной к куперозу, усиленная формула 50 мл",581,"Крем капилляропротектор, усиленная формула, обеспечивает эффективный комплексный уход за кожей, имеющей склонность к куперозу и покраснениям. Обладает выраженным успокаивающим, увлажняющим и восстанавливающим действием. Способствует уменьшению интенсивности покраснения кожи, связанного с наличием...                             ",4.73,11,крем
www.proficosmetics.ru/catalog/171880/,Крем для лица активное увлажнение / Active Hydrating Cream 24H 100 мл,1575,"Лёгкий крем на основе гиалуроновой кислоты и мочевины (5%) создан для максимального и длительного увлажнения кожи. Увлажняющий комплекс устраняет сухость эпидермиса, препятствует трансэпидермальной потере влаги. Крем избавляет от шелушения, восстанавливает эластичность кожи, снимает покраснение и...                             ",4.78,10,крем
www.proficosmetics.ru/catalog/26698/,Крем дневной / Day Cream AZULEN 250 мл,3730,"Классический увлажняющий и смягчающий крем с успокаивающим и легким антикуперозным эффектом. Вариант с более легкой текстурой. Активные ингредиенты: азулен. Способ применения: наносить на очищенную кожу 1 раз в день или как рекомендовано специалистом. Ingredients: WATER (AQUA), ISOPROPYL...                             ",5.0,8,крем
www.proficosmetics.ru/catalog/53096/,Крем питательный для кожи склонной к куперозу / LE PRESTIGE 50 мл,5690,"Специально разработанный питательный крем для сухой и нормальной кожи с повышенной чувствительностью, куперозом и розацеа. Действие препарата направлено на восстановление гидролипидной мантии, уменьшение проявления симптомов гиперреактивности кожи и повышении ее адаптационных возможностей к...                             ",4.71,7,крем
www.proficosmetics.ru/catalog/107090/,Крем CC SPF40 Комфорт 50 мл,690,"СС крем «Комфорт» обладает тройным эффектом Ухаживает за кожей, увлажняет, питает и тонизирует. Укрепляет сосуды и уменьшает красноту, делает кожу эластичной, гладкой и шелковистой. Маскирует неровности тона кожи и мелкие косметические дефекты, выравнивает цвет лица Защищает от повреждающего...                             ",4.2,7,крем
www.proficosmetics.ru/catalog/213435/,Крем-корректор для кожи лица склонной к покраснениям / Redness Corrector Cream 50 мл,609,"Лёгкий крем с капилляроукрепляющим эффектом для ежедневного дневного ухода за кожей, склонной к куперозу. При регулярном применении крема повышается эластичность, выравнивается тон кожи, уменьшается проявление купероза. Благодаря легкой текстуре крем быстро впитывается, обеспечивает комфортное...                             ",4.5,6,крем
www.proficosmetics.ru/catalog/26536/,Гель-крем для жирной кожи / Aqua balance Professional 150 мл,1660,"Воздушная эмульсия для устранения дефицита влаги при уходе за жирной кожей (сухая себорея). Достигается выраженная гидратация, повышается иммунитет, защитные свойства и сопротивляемость воспалительным процессам. Курсовое применение маски способствует устранению раздражения, шелушения кожи,...                             ",4.5,5,крем
www.proficosmetics.ru/catalog/72327/,"Гель ферментативный с папаином для холодного распаривания кожи, с дозатором 300 мл",705,"Гель предназначен для размягчения верхнего слоя кожи перед процедурой чистки. Основным действующим веществом является папаин - фермент, эффективно расщепляющий ороговевшие чешуйки кожи. Пилинг отшелушивает омертвевшие клетки с поверхности кожи и глубоко очищает поры, препятствуя их закупорке....                             ",4.77,61,гель
www.proficosmetics.ru/catalog/39026/,Гель алоэ / Alo Gel VARIETIES 250 мл,4100,"Увлажняющий гель для всех типов кожи. Тонизирует и подтягивает, успокаивает, способствует восстановлению кожи. Многофункциональный насыщенный препарат с приятным ароматом. Подходит для всех типов кожи. Одинаково любим мужчинами и женщинами. Часто используется как увлажняющее и восстанавливающее...                             ",5.0,28,гель
www.proficosmetics.ru/catalog/41866/,Гель алоэ / Alo Gel VARIETIES 70 мл,2210,"Увлажняющий гель для всех типов кожи. Тонизирует и подтягивает, успокаивает, способствует восстановлению кожи. Многофункциональный насыщенный препарат с приятным ароматом. Подходит для всех типов кожи. Одинаково любим мужчинами и женщинами. Часто используется как увлажняющее и восстанавливающее...                             ",5.0,28,гель
www.proficosmetics.ru/catalog/161447/,Гель увлажняющий для лица / AZELAC 50 мл,4755,"Увлажняющий, легкий гель, с высокой толерантностью благодаря уровню pH 5.5. Терапия для кожи с розацеа, покраснениями, куперозом и/или склонной к акне. Аzeloglicina ® сочетает свойства азелаиновой кислоты и увлажняющее действие глицина. Обладает успокаивающим...                             ",4.57,7,гель
www.proficosmetics.ru/catalog/50460/,Гель успокаивающий / Anticouperose 50 мл,1762,"Специальное средство с высоким содержанием активных компонентов для кожи с выраженными признаками купероза и ТАЭ. Рекомендуется для любого типа кожи, особенно для сухой, чувствительной и воспаленной. В аппаратных методиках является необходимым элементом для процедуры лазерной, фото- и...                             ",5.0,6,гель
www.proficosmetics.ru/catalog/72365/,Крем-маска успокаивающая для всех типов кожи 300 мл,1210,"Успокаивающая крем-маска подходит для кожи любого типа и предназначена для эффективного восстановления кожи после проведения пилингов. Маска глубоко увлажняет и питает кожу, запуская процессы регенерации. Способствует обновлению кожи, разглаживанию морщин и устранению заломов. Маска обладает мощным...                             ",4.86,38,маска
www.proficosmetics.ru/catalog/85255/,Маска противокуперозная / Anti Rougeurs mask Bio Phyto 75 мл,4015,"Предназначена для чувствительной кожи с&amp;nbsp;куперозом: укрепляет сосудистую стенку, устраняет гиперемию, снимает отечность. Обеспечивает кожу необходимой влагой и&amp;nbsp;микроэлементами. Восстанавливает естественный барьер кожи, улучшает ее&amp;nbsp;сопротивляемость внешним...                             ",4.96,29,маска
www.proficosmetics.ru/catalog/158384/,Молочко-маска c фруктовыми кислотами и экстрактом черного гриба 50 мл,1560,"Мягкий фруктовый пилинг в домашнем уходе. Обладает отшелушивающим и стимулирующим действием. Оказывает мгновенный лифтинг. Интенсивно увлажняет, выравнивает тон и микрорельеф кожи, оказывает профилактику купероза. Фруктовые кислоты способствуют обновлению поверхностного слоя кожи, устраняют...                             ",4.81,21,маска
www.proficosmetics.ru/catalog/50777/,Маска Миртовая / Myrtle Mask ALODEM 60 мл,1830,"Гелевая маска с миртовым маслом, обладает приятным успокаивающим запахом. Особенно рекомендуется для куперозной, чувствительной кожи. Присутствие миртового масла предельно уменьшает в составе препарата дозу консервантов, что, в свою очередь, обеспечивает эффективное применение для самой...                             ",4.76,19,маска
www.proficosmetics.ru/catalog/43663/,Маска альгинатная успокаивающая антикуперозная Морской бриз 30 г,131,"Альгинатная успокаивающая антикуперозная маска с Черникой, витамином С и Миоксинолом. Основа маски - натуральные морские водоросли и минералы. Черника и витамин С оказывают мягкое комплексное воздействие на кожу лица, с выраженным успокаивающим эффектом. Нормализует пигментацию, восстанавливает...                             ",4.8,11,маска
www.proficosmetics.ru/catalog/53113/,Маска фруктовая / LE PRESTIGE 100 мл,4225,"Гель-маска с нежной тающей текстурой для любого типа кожи и возраста. Обладает увлажняющим, противовоспалительным, смягчающим и капилляроукрепляющим действием. Устраняет шелушение и раздражение, восстанавливает естественный уровень увлажненности кожи и повышает ее тонус. Экстракты липы, мальвы и...                             ",5.0,10,маска
www.proficosmetics.ru/catalog/81905/,Маска противокуперозная (шаг 6c) / Anti rougeurs mask 6c Bio Phyto 250 мл,7390,Маска противокуперозная (шаг 6c). Эффективно устраняет проявления гиперемии и снимает отечность. Укрепляет стенки кровеносных сосудов. Придает коже свежий и отдохнувший вид.                             ,5.0,9,маска
www.proficosmetics.ru/catalog/136663/,Маска успокаивающая / Delicate Mask 200 мл,4420,"Кремовая маска нежной текстуры снимает зуд, шелушение, чувство стянутости кожи, уменьшает проявления купероза, повышает регенерацию. Октододецил миристат и экстракт каперсов колючих (Gatulin Dermo- Sensitive), входящие в состав маски, обеспечивают мощное успокаивающее и противовоспалительное...                             ",5.0,9,маска
www.proficosmetics.ru/catalog/62598/,"Маска альгинатная для лица, черника + витамин С 25 г",295,"Укрепляет стенки сосудов, улучшает микроциркуляцию, подавляет активность свободных радикалов, успокаивает кожу. Маска рекомендована для чувствительной кожи и эффективна в программах профилактики купероза. Рекомендуется курсовое применение. Активные ингредиенты: диатомовая земля, альгинат натрия,...                             ",5.0,8,маска
www.proficosmetics.ru/catalog/51468/,Гель-маска коллагеновая с софорой японской / Express Protect 30 мл,1485,"Способствует уменьшению признаков купероза благодаря экстракту софоры японской, укрепляет стенки капилляров и улучшает кровообращение, устраняет синяки и отеки. Натуральный трехспиральный коллаген повышает тургор и эластичность, улучшает цвет и выравнивает микрорельеф кожи. Активные ингредиенты:...                             ",4.88,8,маска
www.proficosmetics.ru/catalog/130462/,Маска Красный клевер 100 мл,2250,"Маска разработана для кожи склонной к покраснению и раздражению. Фитоэстрогены сои активизируют микроциркуляцию и повышают тонус. Витамин С стабилизирует поверхностные капилляры и укрепляет их стенку. Масло косточки винограда усиливает защитные функции, восстанавливая липидный барьер и тургор кожи....                             ",4.57,7,маска
www.proficosmetics.ru/catalog/127513/,Маска суперальгинатная противокуперозная / Perfect Algae Homework 17 г + 50 мл,350,"Пластифицирующая маска для ухода за тонкой чувствительной кожей с выраженной сосудистой сеткой. Богатый комплекс из натуральных компонентов (экстракт конского каштана, листья шалфея, плоды боярышника, ламинария, лимон, чай зелёный, петрушка) нормализует проницаемость капилляров, улучшает...                             ",3.86,7,маска
www.proficosmetics.ru/catalog/3065672/,Маска минеральная грязевая для лица с алоэ вера и дуналиеллой 12 мл,105,"Минерально-грязевая маска для лица, созданная при соблюдении всех этичных канонов, на 100% утоляет жажду кожи и дарит ей желанное ощущение свежести! В состав средства входит природное ухаживающее средство — грязь Мертвого моря, которая, вытягивая токсины, глубоко очищает кожу лица и бережно за ней...                             ",5.0,5,маска
