page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/71640/,"Концентрат гиалуроновая кислота 100%, интенсивное увлажнение / HYALURON COMPLEX 25 мл",1890,"Концентрат обладает идеальными гидратирующими свойствами, обеспечивая двойной эффект увлажнения — изнутри и снаружи. Обладает аnti-age действием, улучшает цвет лица, уменьшает морщины, повышает плотность и тонус кожи. Секрет эффективности сыворотки в её составе. Концентрат...                             ",4.68,60,кислота
www.proficosmetics.ru/catalog/74852/,"Сыворотка увлажняющая лифтинговая для лица и век, Гиалуроновая кислота + Экстракт микроводоросли / HYALURON COMPLEX 25 мл",1723,"Концентрат обладает эффективным лифтинговым действием, делает кожу подтянутой и упругой. Сыворотка для ухода за кожей лица и век не содержит геле образователей, легко впитывается, дарит коже гладкость и увлажненность, здоровое сияние и ровный цвет лица. Экстракт...                             ",4.75,30,кислота
www.proficosmetics.ru/catalog/74387/,"Сыворотка увлажняющая интенсивная от морщин, Гиалуроновая кислота + Эластин / HYALURON COMPLEX 25 мл",1890,"Концентрат способствует удержанию влаги в клетках кожи, повышает плотность и эластичность кожи. Эластин разглаживает мелкие морщинки и играет важную роль в профилактике старения кожи после 30 лет. Средство не содержит геле образователей, легко впитывается, наполняет...                             ",4.38,24,кислота
www.proficosmetics.ru/catalog/26382/,Концентрат Гель гиалуроновой кислоты 10*2 мл,521,"Гель гиалуроновой кислоты для сухой, атоничной, обезвоженной кожи. Гиалуроновая кислота - естественный компонент кожи, поддерживающий нормальный водный баланс. Гиалуроновая кислота формирует на поверхности кожи тонкую непрерывную пленку, сохраняющую естественную влажность кожи, не нарушая газообмен...                             ",4.83,12,кислота
www.proficosmetics.ru/catalog/98752/,Концентрат ультраувлажняющий с гиалуроновой кислотой и хитозаном / HYALURON COMPLEX 25 мл,1701,"Сыворотка нормализует водный баланс, предупреждает сухость кожи и образование морщин, улучшает цвет лица, активизирует регенерацию клеток. Хитозан обладает успокаивающим и восстанавливающим действием, помогает в заживлении микроповреждений кожи, устраняет шелушение и чувство...                             ",4.78,9,кислота
www.proficosmetics.ru/catalog/830069/,Концентрат с гликолевой кислотой для лица 30 мл,941,"Концентрат с гликолевой кислотой Soin Acide Glycolique. Революционный состав сыворотки, воздействуя на архитектуру дермы, активируя выработку коллагена и эластина, эффективно улучшает тургор, увлажненность кожи, способствует коррекции овала лица. Позволяет проработать как поверхностные, так и более...                             ",4.67,6,кислота
www.proficosmetics.ru/catalog/29643/,Крем отшелушивающий / Peeling Cream LACTOLAN 70 мл,3470,"Поверхностный ферментативный пилинг-крем типа гоммаж. Подходит для всех типов кожи, кроме кожи с воспалительными элементами. Эффективно отшелушивает роговые клетки, устраняет гиперкератоз, выравнивает поверхность кожи. Удаляет открытые комедоны. Способствует обновлению эпидермиса, улучшает текстуру...                             ",4.84,99,пилинг
www.proficosmetics.ru/catalog/66232/,Пилинг салициловый 10% 50 мл,1775,"Органический комплекс салициловой кислоты и экстракта солодки мягко удаляет клетки рогового слоя. Очищает устья сальных желез, предотвращает закупоривание пор. Уменьшает выраженность постэруптивных изменений кожи. Показания к применению: Акне Жирная кожа с тенденцией к акне Себорейный кератоз...                             ",4.67,81,пилинг
www.proficosmetics.ru/catalog/102754/,Пилинг энзимный / Papaya Enzyme Peel 150 мл,787,"Энзимный крем-пилинг с эффектом глубокого очищения. Благодаря комплексу активных компонентов и ферменту папайи бережно очищает кожу от белковых загрязнений, остатков пота и себума, обеспечивая регенерирующий, депигментирующий, детоксицирующий эффект. Устраняет гиперкератоз, подготавливает кожу к...                             ",4.75,77,пилинг
www.proficosmetics.ru/catalog/156963/,"Пилинг регенерирующий с азелаиновой кислотой Regenerating Azelaic Peel, 150 мл",899,"Пилинг регенерирующий Regenerating Azelaic Peel - пилинг с азелаиновой кислотой и комплексом АНА кислот для интенсивного корректирующего ухода за кожей. Оказывает антимикробное противовоспалительное действие на кожу, склонную к акне. Нормализует процесс регенерации, стимулируя обновление...                             ",4.81,59,пилинг
