page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/116527/,Крем Anti Acne 50 мл,1610,"Легкий крем обеспечивает полноценный уход за жирной/проблемной кожей. Изофлавоны сои оказывают себорегулирующее действие. Экстракт эхинацеи сохраняет водный баланс кожи. Азелаиновая кислота предупреждает и уменьшает количество воспаленных элементов. Активные ингредиенты: альпосомы, содержащие масла...                             ",4.56,21
www.proficosmetics.ru/catalog/127507/,Крем-гель с охлаждающим эффектом / Anti-acne Homework 50 мл,1015,"Средство ухода за жирной кожей в дневное время для коррекции и профилактики акне. Крем-гель снимает воспаление, способствует сужению пор, рассасыванию застойных пятен, снижает уровень и темп секреции кожного сала. Устраняет покраснения, сальные пробки, матирует кожу. Оказывает выраженное...                             ",4.75,8
www.proficosmetics.ru/catalog/93977/,Маска анти-акне для жирной и проблемной кожи 300 мл,1060,"Нормализует секрецию сальных желез. Уменьшает количество воспалительных элементов, покраснения и раздражения, оказывает рассасывающее действие. Успокаивает кожу и стягивает поры. Активные ингредиенты: масло кукурузное, хлорофилло-каротиновая паста, молочная кислота, каолин, ниацинамид, аллантоин,...                             ",4.14,8
www.proficosmetics.ru/catalog/3131165/,Крем-гель дневной для лица анти-акне с маслом чайного дерева / MILEO 30 мл,2250,"Крем эффективно ухаживает за жирной и проблемной кожей, обеспечивая уменьшение проявлений акне и высыпаний. Матирует кожу и выравнивает тон кожи. Способствует сужению пор и улучшает состояние проблемной кожи. Подсушивает воспалительные элементы на коже и снижает саловыделение в порах кожи....                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136420/,Сыворотка Стоп акне / Anti-acne 30 г,1850,"Сыворотка «Стоп-Акне» - это средство для интенсивного и профилактического ухода за кожей, склонной к воспалениям и пигментации, в том числе при розацеа и демодекозе. Биологически активный комплекс с азелаиновой кислотой и глицином ингибирует синтез меланина, блокируя фермент тирозиназу, тем самым...                             ",4.83,13
www.proficosmetics.ru/catalog/136424/,Гель для жирной кожи / Anti-acne 100 г,1120,"Гель для жирной кожи рекомендуется использовать при активной стадии угревой болезни. Гель содержит препарат серы, который успешно снижает секрецию кожного сала, не нарушая естественную микрофлору, обладает противопаразитарным, противомикробным действиями. Сок Aloe Vera, введенный в гель,...                             ",4.6,6
www.proficosmetics.ru/catalog/26810/,Пудра нежная / DOUBLE ACTION POWDER 45 мл,2040,"Нежная пудра на основе сухих растительных экстрактов. Применяется при акне, розацеа, себорейном и пелёночном дерматите, чувствительной и раздражённой коже. Поглощает избытки кожного сала, уменьшает жирный блеск, способствует успокоению кожи, обладает легким маскирующим эффектом. Уменьшает...                             ",4.81,31
www.proficosmetics.ru/catalog/50920/,Лосьон прополисный / Propolis Lotion CLEAR 250 мл,2235,"Лосьон прополисный предназначен для ухода за проблемной кожей с элементами акне, для кожи подростков. Не содержит спирта. Действует на кожу как антисептик, регулирует деятельность сальных желёз, стягивает поры, уменьшает салоотделение. Можно использовать в качестве антисептика при чистке лица, при...                             ",4.8,5
www.proficosmetics.ru/catalog/106258/,Сыворотка антиугревая / Velour Active 30 мл,1090,"Сыворотка оказывает себорегулирующее, противовоспалительное и иммуномодулирующее действие, устраняя воспалительные элементы и препятствуя возникновению новых. Является профилактическим средством жирной себореи и акне. Входящий в состав экстракт зеленого томата с высоким содержанием томатидина,...                             ",4.75,5
www.proficosmetics.ru/catalog/43655/,Маска альгинатная анти-акне Остров сокровищ 30 г,131,"Основа маски — натуральные морские водоросли и минералы. Масло чайного дерева и экстракт ивы оказывают мощное комплексное воздействие на кожу лица, с ярким успокаивающим эффектом. Масло чайного дерева уничтожает практически любую инфекцию, экстракт ивы обеспечивает проникновение антисептика глубоко...                             ",5.0,9
www.proficosmetics.ru/catalog/142232/,Маска-уход для проблемной и жирной кожи / ARAVIA Professional Anti-Acne Intensive 150 мл ,765,"Профессиональная маска для интенсивного ухода за проблемной кожей лица. Изготовлена на основе биоактивного хлорофилл-каротинового комплекса. Оказывает интенсивное успокаивающее, бактерицидное и себорегулирующее действие, способствует устранению акне, комедонов, постакне и шелушения, снимает...                             ",4.67,49
www.proficosmetics.ru/catalog/3128849/,Пенка для умывания лица против акне и воспалений / Bye Bye Acne! 100 мл,480,"Нежная пенка для умывания с салициловой кислотой обеспечивает глубокое, но щадящее очищение. Она бережно удаляет все загрязнения, остатки макияжа, защищает кожу от пересушивания. Масло чайного дерева эффективно сужает поры и нормализуют работу сальных желез, а экстракт алое вера увлажняет кожу и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3065606/,Крем успокаивающий клинанс гидра 40 мл,1870,"Успокаивающий крем для пересушенной проблемной кожи компенсирует подсушивающее и раздражающее действие препаратов для лечения акне. Преимущества: - увлажняет и успокаивает кожу, склонную к появлению акне, учитывая ее природную чувствительность. - питающие свойства масел какао, ши и жожоба...                             ",5.0,1
www.proficosmetics.ru/catalog/3063610/,Крем-актив точечного нанесения Серацин / SERACIN 20 мл,590,"Актив-крем для точечного нанесения для прыщей и угревой сыпи. Подходит для жирной кожи и кожи с акне. Подсушивает, уменьшает в размерах и полностью устраняет видимые элементы угревой сыпи и прыщей всего за несколько дней. Крем-актив наносится непосредственно на прыщи, акне и предназначен для...                             ",5.0,1
www.proficosmetics.ru/catalog/3128848/,Пилинг-маска очищающая против акне для проблемной кожи лица / Bye Bye Acne! 50 мл,350,"Пилинг-маска глубоко очищает поры, эффективно удаляет омертвевшие клетки кожи, контролирует излишнюю выработку кожного себума. Масло чайного дерева способствует укреплению соединительных тканей, ускорению обновления клеток кожи, а также сокращает количество несовершенств и покраснений. Комплекс из...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136732/,Маска альгинатная анти-акне / Algae Mask Anti-Acne 30 г,350,"Уменьшает воспаление, успокаивает, увлажняет и освежает кожу, способствует активной регенерации клеток, улучшает кровообращение и обмен веществ. Обладает выраженным поросуживающим эффектом. Оказывает детоксикационное и антиоксидантное действие. Активные ингредиенты: диатомовая земля, порошок...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/1244867/,Ампула-концентрат стоп-акне для лица / ACNESHOT AMPOULE 30 мл,2940,"Ампула-концентрат стоп-акне для лица ACNE SHOT AMPOULE обеспечивает мощнейший противовоспалительный результат, сравнимый со свойствами антибиотиков. Обладает сильным антимикробным (бактерицидным, фунгицидным, вируцидным) действием. Нормализует себорегуляцию. Снимает болевые ощущения, уменьшает...                             ",5.0,1
www.proficosmetics.ru/catalog/3065605/,Крем смягчающий очищающий клинанс гидра 200 мл,1505,"Очищает молодую проблемную кожу на фоне медикаментозного лечения акне, не вызывая ее обезвоженности. Термальная вода Авен с успокаивающими и снимающими раздражение свойствами мгновенно дарит ощущение комфорта. Благодаря питательным свойствам кокоса, масла карите и  масла жожоба, входящих в...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3091733/,Гель концентрированный против воспалительных элементов / Sebiaclear Cicapeel 15 мл,1385,Концентрированный гель устраняет и значительно уменьшает воспалительные элементы и локализованные покраснение кожи через 24 часа. Имеет усиленное действие против постакне (предупреждает появление и устраняет уже существующие постакне). Имеет легкий гипоаллергенный аромат.                             ,No rating,No reviews
www.proficosmetics.ru/catalog/3091734/,Гель усиленного действия / Sebiaclear Active 40 мл,1430,"Гель усиленного действия - глобальный уход за кожей с усиленным действием: устраняет воспалительные угри и черные точки, очищает поры и контролирует жирный блеск. Заметно уменьшаются воспалительные элементы и покраснения. Ниацинамид обладает антибактериальным действием, а комплекс глюконолактон с...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/2553305/,Маска тканевая противовоспалительная с экстрактом каламанси 20 мл,65,"Энергия тропических фруктов для здоровья и сияния вашей кожи! Экстракт каламанси богат кислотами и витамином С. Тканевая маска с экстрактом каламанси выравнивает рельеф и тон кожи, нормализует выработку себума, оказывает антибактериальный эффект, помогает осветлить постакне, предотвращает появление...                             ",5.0,5
www.proficosmetics.ru/catalog/3131167/,Флюид-СОС для лица анти-акне с азелаиновой кислотой / MILEO 50 мл,1998,"Флюид эффективно и значительно уменьшает проявления акне и высыпаний на коже. Снижает избыточное саловыделение на коже и матирует кожу. Каротиноиды СО2-экстракта шиповника обеспечивают ретинолоподобный эффект на коже, способствуя уменьшению высыпаний. Эфирное масло чайного дерева и азелаиновая...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136667/,Крем балансирующий для проблемной кожи / Armony Cream 50 мл,3280,"Armony Cream  от Levissime обладает мощным себорегулирующим эффектом. Устраняет и снижает количество различных воспалений и высыпаний на кожных покровах, обладает хорошим поросуживающим действием. При регулярном использовании кожа становится ровной, все участки с дефектами выравниваются и...                             ",4.92,13
www.proficosmetics.ru/catalog/136664/,Гель очищающий / Armony Cleanser 250 мл,2210,"Нежный очищающий гель бережно очищает жирную и склонную к развитию акне проблемную кожу. Не раздражает даже очень чувствительную кожу, тщательно удаляет макияж и другие загрязнения. Мягко очищает поры, не нарушая барьерные функции кожи, сохраняя pH баланс. Обладает себорегулирующим, антисептическим...                             ",5.0,8
www.proficosmetics.ru/catalog/136665/,Тоник балансирующий / Armony Tonic 250 мл,1750,"Тоник с нежным ароматом специально разработан для ухода за жирной и проблемной кожей. Содержит широкий спектр ингредиентов, подавляющих рост патогенной микрофлоры, способствует нормализации сосудистой проницаемости, великолепно увлажняет и восстанавливает рН, нормализует процессы кератинизации...                             ",4.94,17
www.proficosmetics.ru/catalog/134295/,Гель очищающий с фруктовыми кислотами для лица / AHA GEL 400 мл,2035,"Гель очищающий с фруктовыми кислотами для лица AHA GEL - очищающее и отшелушивающее средство с комплексом фруктовых кислот. Особенно рекомендуется для регулярного ухода за жирной, проблемной и склонной к акне коже. Гель способствует интенсивному очищению пор, снимает воспаление и шелушение....                             ",4.25,5
www.proficosmetics.ru/catalog/136666/,Сыворотка балансирующая для проблемной кожи / Armony Serum 50 мл,3120,"Препарат для комплексного ухода за жирной и проблемной кожей обеспечивает выраженный себостатический, кератолитический и антибактериальный эффект, благодаря присутствию в его составе экстрактов коры белой ивы и корня ириса флорентийского, салициловой кислоты, сульфата цинка, концентрата мануки....                             ",4.67,6
www.proficosmetics.ru/catalog/147904/,Био-тоник с лактобионовой кислотой 150 мл,1080,"Тоник для лица с лактобионовой, салициловой и винной кислотой. Предназначен для предпилинговой подготовки. Выравнивает рН и дезинфицирует. Что делает: - лактобионовая кислота обеспечивает глубокое и продолжительное увлажнение; - яблочная кислота усиливает клеточный метаболизм; - синергия винной и...                             ",5.0,7
www.proficosmetics.ru/catalog/144752/,"Тоник Апельсин, увлажнение и тонизация жирной и проблемной кожи 150 мл",730,"Ежедневная тонизация жирной и проблемной кожи. Тоник выравнивает рН, сужает поры и оказывает противовоспалительное действие. Что делает: - синергия винной и салициловой кислоты выравнивает рельеф кожи. - экстракт гамамелиса регулирует деятельность сальных желез. - аллантоин успокаивает и освежает....                             ",5.0,3
www.proficosmetics.ru/catalog/3077579/,Маска очищающая для проблемной кожи / Armony Mask 50 мл,1850,"Себорегулирующая противовоспалительная маска дезинфицирует, очищает, сужает поры, удаляет избытки кожного сала. Восстанавливает минеральный и водный баланс кожи, оказывает антисептическое действие, способствует быстрому заживлению повреждений, успокаивает воспаленную и раздраженную кожу. Создает...                             ",5.0,1
