page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/1244867/,Ампула-концентрат стоп-акне для лица / ACNESHOT AMPOULE 30 мл,2940,"Ампула-концентрат стоп-акне для лица ACNE SHOT AMPOULE обеспечивает мощнейший противовоспалительный результат, сравнимый со свойствами антибиотиков. Обладает сильным антимикробным (бактерицидным, фунгицидным, вируцидным) действием. Нормализует себорегуляцию. Снимает болевые ощущения, уменьшает...                             ",5.0,1
www.proficosmetics.ru/catalog/607984/,Концентрат ампульный Витаминная бомба / VC SHOT AMPOULE 100 мл ,5460,"Концентрат ампульный Витаминная бомба VC SHOT AMPOULE. Стабилизированный витамин С, ниацинамид, арбутин и экстракт облепихи в сбалансированной формуле тройного замка блокируют причины возникновения пигментации на уровне ингибирования тирозиназы и образования меланина. Кристаллы витамина С при...                             ",5.0,1
www.proficosmetics.ru/catalog/93976/,Биоконцентрат пептид-актив анти-акне для проблемной кожи 15 мл,830,"Предназначен для комплексного ухода за жирной проблемной кожей в процедурах салонного ухода. Эффективно воздействует на причины, приводящие к образованию комедонов, воспалительных элементов и других проявлений акне. Восстанавливает естественное значение кислотности среды. Подавляет рост...                             ",4.0,2
www.proficosmetics.ru/catalog/136729/,Комплекс для проблемной кожи / Astringen Complex 6*3 мл,2500,"Препарат с мощным действием позволяет быстро и заметно улучшить состояние проблемной кожи с акне. Активные ингредиенты сыворотки влияют на все основные механизмы развития акне. Нормализует работу сальных желез. Препарат сужает поры, обеспечивает быстрое купирование воспалительных процессов,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3118102/,Карандаш роликовый локальный уход / ЭКСФОЛИАК 5 мл,1550,Компактный роликовый карандаш для локального нанесения на воспалительные элементы.                             ,No rating,No reviews
www.proficosmetics.ru/catalog/30892/,Концентрат Успокаивающий 10*2 мл,487,"Концентрат для жирной проблемной, склонной к воспалению кожи. Препарат регулирует работу сальных желез, снимает раздражение, успокаивает жирную проблемную кожу. Стимулирует работу естественных механизмов регенерации клеток и защиты кожи. Улучшает качество поверхности кожи, делает ее гладкой и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/27173/,Концентрат Нормализующий жирность кожи 10*2 мл,487,"Концентрат для жирной проблемной, склонной к воспалению кожи. Препарат способствует нормализации состояния жирной проблемной кожи. Регулирует работу сальных желез, снимает раздражение, успокаивает, предотвращает развитие воспалительных процессов. Хорошо тонизирует и увлажняет кожу. Растительные...                             ",3.5,2
www.proficosmetics.ru/catalog/607983/,Концентрат ампульный Витаминная бомба / VC SHOT AMPOULE 30 мл ,3150,"Концентрат ампульный Витаминная бомба VC SHOT AMPOULE. Стабилизированный витамин С, ниацинамид, арбутин и экстракт облепихи в сбалансированной формуле тройного замка блокируют причины возникновения пигментации на уровне ингибирования тирозиназы и образования меланина. Кристаллы витамина С при...                             ",5.0,1
www.proficosmetics.ru/catalog/3112864/,Ампулы для проблемной кожи / AMP Active Purifier 7 х 2 мл,3530,"Ампулы с ихтиолом, маслом чайного дерева и порошком ореха бабассу для мгновенной ликвидации прыщей и борьбы с сильным блеском кожи. Ампулы идеально подходят для курсового ухода в рамках лечения проблемной кожи, а также в качестве SOS-продукта для ликвидации локальных микровоспалений у жирной и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3130974/,Ампула-сыворотка с ниацинамидом 5% / Blemi Shot Ampoule 30 мл,3780,"Сыворотка с 5% ниацинамидом Ample:N Blemi Shot Ampoule уменьшает количество воспалений и выработку кожного жира, снижает трансэпидермальную потерю влаги, повышает показатели увлажненности и укрепляет защитный барьер, блокирует перемещение меланина в кератиноциты, борется с возрастными изменениями....                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3079181/,Концентрат чистого витамина C + активатор / Inspira: Med 7 шт + 5 мл,10174,"Pure Vital C Booster - тюбик с 7 жемчужинами и флакон с пипеткой с 5 мл флюида-активатора. Это чистая стабилизированная L-аскорбиновая кислота (витамин C) в форме жемчужин и флюид-активатор. Витамин С – мощный антиоксидант. Главная его функция — борьба с окислительным стрессом, то есть...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/808364/,"Средство осветляющее, увлажняющее в ампулах / HIDRADERM TRX Ampoules 5 х 2 мл",3260,"Осветляющее и увлажняющее средство в ампулах HIDRADERM TRX Ampoules интенсивно увлажняет кожу и борется с пигментацией. Средство разработано с использованием технологии NANOTECH™. Ее уникальность заключается в использовании активных ингредиентов, помещенных...                             ",No rating,No reviews
