page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/136667/,Крем балансирующий для проблемной кожи / Armony Cream 50 мл,3280,"Armony Cream  от Levissime обладает мощным себорегулирующим эффектом. Устраняет и снижает количество различных воспалений и высыпаний на кожных покровах, обладает хорошим поросуживающим действием. При регулярном использовании кожа становится ровной, все участки с дефектами выравниваются и...                             ",4.92,13
www.proficosmetics.ru/catalog/136662/,Крем успокаивающий / Delicate Cream 50 мл,3290,"Крем разработан специально для облегчения состояния раздражённой, покрасневшей или чувствительной кожи. Он образует физиологическую пленку на коже, оберегая ее от действия внешних агрессивных факторов. Обладает выраженным противовоспалительным действием, регулирует водный баланс, стимулирует...                             ",5.0,3
www.proficosmetics.ru/catalog/86112/,Крем Красный клевер 50 мл,1340,"Легкий питательный крем разработан для ухода за чувствительной кожей склонной к куперозу. Экстракты трав комплексно воздействуют на кожу. Красный клевер повышает тонус сосудов. Тимьян уменьшает красноту и успокаивает кожу. Рутин нормализует проницаемость капилляров, что способствует устранению...                             ",4.79,15
www.proficosmetics.ru/catalog/158351/,Крем корректирующий для лица / АзеLine 50 мл,2000,"Эффективное противоугревое средство на основе 20% азелаиновой кислоты. Крем легко впитывается, не оставляя белого налета. Делает лицо матовым, как после нанесения шелковой пудры. Азелаиновая кислота обеспечивает антикомедогенное, антимикробное, противовоспалительное и антиоксидантное действие,...                             ",4.68,25
www.proficosmetics.ru/catalog/136657/,Крем увлажняющий дневной / Aqua Cream 50 мл,3100,"Крем с нежной текстурой и изысканным ароматом содержит ценнейшие ингредиенты, обеспечивающее эффективное наполнение кожи влагой. Препарат идеально подходит для долговременного восстановления водного баланса кожи любого типа, незаменим для сухой и чувствительной. Великолепно защищает кожу от...                             ",5.0,4
www.proficosmetics.ru/catalog/136658/,Крем питательный ночной / Aqua Nutritive 50 мл,3140,"Насыщенный по составу и обладающей приятной текстурой ночной крем обеспечивает интенсивный уход и восстановление сухой и обезвоженной кожи. Содержит высокую концентрацию гиалуроновой кислоты, масел моринги и макадамии, которые встраиваются в роговой слой, способствуют более глубокому проникновению...                             ",5.0,8
www.proficosmetics.ru/catalog/63609/,Крем увлажняющий для лица / SKINCONCELLULAR 50 мл,3285,"Крем улучшает влагоудерживающие свойства кожи, насыщает ее микроэлементами морского происхождения и ценными жирными кислотами, предотвращает фотостарение, нормализует межклеточный энергообмен и восстанавливает здоровую физиологию кожи. После курсового применения кожа становится гладкой, упругой и...                             ",5.0,5
www.proficosmetics.ru/catalog/84179/,Крем гидроактивный / Multi Hydrating Cream 50 мл,4085,"Дневной крем с интенсивным увлажняющим действием для всех типов кожи. Способствует глубокому увлажнению кожи и повышает способность клеток дермы удерживать влагу. За счет этого кожа сохраняет необходимый уровень гидратации в течение всего дня. Крем способствует устранению сухости кожи, а также...                             ",4.79,49
www.proficosmetics.ru/catalog/27478/,Крем регенерирующий ночной / Homework 50 мл,1655,Средство для интенсивного ухода с выраженным регенерирующим действием. Стимулирует обменные процессы в коже. Способствует обновлению клеток кожи. Обладает иммуномодулирующим эффектом. Улучшает эластичность и тургор кожи. Замедляет образование морщин.                             ,4.79,36
www.proficosmetics.ru/catalog/45753/,Крем двойного действия / Dual Action Cream OILY SKIN FORMULA 50 мл,6529,"Крем оказывает как себорегулирующее, так и омолаживающее действие. При нанесении утром придает поверхности кожи приятный атласный вид на целый день, глубоко увлажняет и восстанавливает кожу, снимает покраснения и раздражения. При нанесении вечером нормализует производство себума, насыщает кожу...                             ",5.0,2
www.proficosmetics.ru/catalog/27454/,Крем увлажняющий дневной / Homework 50 мл,1580,"Средство для интенсивного увлажнения кожи, склонной к дегидратации. Обеспечивает выраженный увлажняющий эффект. Оказывает антиоксидантное действие. Устраняет чувство стянутости кожи и шелушение. Защищает от УФ-лучей.                             ",4.85,21
www.proficosmetics.ru/catalog/158390/,Крем солнцезащитный SPF 30 50 мл,1750,"Солнцезащитный крем – для очень светлой и чувствительной кожи, склонной к образованию пигментных пятен. Обеспечивает до 98% защиты от ультрафиолета. Прекрасно впитывается, не оставляет жирной пленки и белого налета, интенсивно питает и увлажняет кожу. Косметические силиконы в составе, способствуют...                             ",4.15,13
