page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/136424/,Гель для жирной кожи / Anti-acne 100 г,1120,"Гель для жирной кожи рекомендуется использовать при активной стадии угревой болезни. Гель содержит препарат серы, который успешно снижает секрецию кожного сала, не нарушая естественную микрофлору, обладает противопаразитарным, противомикробным действиями. Сок Aloe Vera, введенный в гель,...                             ",4.6,6
www.proficosmetics.ru/catalog/3091733/,Гель концентрированный против воспалительных элементов / Sebiaclear Cicapeel 15 мл,1385,Концентрированный гель устраняет и значительно уменьшает воспалительные элементы и локализованные покраснение кожи через 24 часа. Имеет усиленное действие против постакне (предупреждает появление и устраняет уже существующие постакне). Имеет легкий гипоаллергенный аромат.                             ,No rating,No reviews
www.proficosmetics.ru/catalog/3091734/,Гель усиленного действия / Sebiaclear Active 40 мл,1430,"Гель усиленного действия - глобальный уход за кожей с усиленным действием: устраняет воспалительные угри и черные точки, очищает поры и контролирует жирный блеск. Заметно уменьшаются воспалительные элементы и покраснения. Ниацинамид обладает антибактериальным действием, а комплекс глюконолактон с...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136664/,Гель очищающий / Armony Cleanser 250 мл,2210,"Нежный очищающий гель бережно очищает жирную и склонную к развитию акне проблемную кожу. Не раздражает даже очень чувствительную кожу, тщательно удаляет макияж и другие загрязнения. Мягко очищает поры, не нарушая барьерные функции кожи, сохраняя pH баланс. Обладает себорегулирующим, антисептическим...                             ",5.0,8
www.proficosmetics.ru/catalog/134295/,Гель очищающий с фруктовыми кислотами для лица / AHA GEL 400 мл,2035,"Гель очищающий с фруктовыми кислотами для лица AHA GEL - очищающее и отшелушивающее средство с комплексом фруктовых кислот. Особенно рекомендуется для регулярного ухода за жирной, проблемной и склонной к акне коже. Гель способствует интенсивному очищению пор, снимает воспаление и шелушение....                             ",4.25,5
www.proficosmetics.ru/catalog/50417/,Гель очищающий с АНА 200 мл,870,"Очищающий гель на основе фруктовых кислот рекомендуется к использованию перед процедурой химического пилинга, а также в качестве самостоятельного средства для глубокого очищения кожи. Пилинг-гель содержит в своем составе различные альфагидроксикислоты, которые эффективно отшелушивают омертвевшие...                             ",4.72,99
www.proficosmetics.ru/catalog/3022019/,Гель очищающий для проблемной кожи / Oily Home 200 мл ,1790,"Бессульфатный гель для умывания с молочной кислотой, pH=5,8. Эффективно удаляет избыток кожного сала, загрязнения, декоративную косметику с кожи лица и век. Не пересушивает и не травмирует кожу, поддерживает физиологический рН. Оказывает успокаивающее и увлажняющее действие. Рекомендуется для...                             ",4.5,4
www.proficosmetics.ru/catalog/136669/,Корректор для проблемной кожи / Armony Stick 30 мл,780,"Работает как SOS–средство. Подсушивает пустулы, уменьшает размеры и ускоряет заживление воспалений. Обладает антибактериальным, себорегулирующим и противовоспалительным свойствами, предотвращает появление новых воспалительных элементов. Активные ингредиенты: денатурированный спирт, глицерин,...                             ",4.5,8
www.proficosmetics.ru/catalog/44341/,"Крем-гель успокаивающий, для мужчин / Stress Fighter His Story 100 мл",1390,"Препарат для регулярного ухода за мужской кожей. Эффективен для снятия всех видов кожного стресса: после механического воздействия бритвы, принятия солнечных ванн, хлорированной или соленой воды. Оптимален для профилактики любых раздражений и акне. Мгновенно останавливает кровотечение от порезов....                             ",No rating,No reviews
www.proficosmetics.ru/catalog/53114/,Крем-гель увлажняющий для жирной кожи / LE PRESTIGE 50 мл,4920,"Легкий крем-гель предназначен для интенсивного увлажнения комбинированной, жирной или проблемной кожи. Обладает себостатическим и антисептическим свойствами. Стимулирует кровообращение и процессы обновления клеток, нейтрализует действие свободных радикалов, повышает тонус кожи, делая ее гладкой и...                             ",5.0,7
