page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/93977/,Маска анти-акне для жирной и проблемной кожи 300 мл,1060,"Нормализует секрецию сальных желез. Уменьшает количество воспалительных элементов, покраснения и раздражения, оказывает рассасывающее действие. Успокаивает кожу и стягивает поры. Активные ингредиенты: масло кукурузное, хлорофилло-каротиновая паста, молочная кислота, каолин, ниацинамид, аллантоин,...                             ",4.14,8
www.proficosmetics.ru/catalog/43655/,Маска альгинатная анти-акне Остров сокровищ 30 г,131,"Основа маски — натуральные морские водоросли и минералы. Масло чайного дерева и экстракт ивы оказывают мощное комплексное воздействие на кожу лица, с ярким успокаивающим эффектом. Масло чайного дерева уничтожает практически любую инфекцию, экстракт ивы обеспечивает проникновение антисептика глубоко...                             ",5.0,9
www.proficosmetics.ru/catalog/142232/,Маска-уход для проблемной и жирной кожи / ARAVIA Professional Anti-Acne Intensive 150 мл ,765,"Профессиональная маска для интенсивного ухода за проблемной кожей лица. Изготовлена на основе биоактивного хлорофилл-каротинового комплекса. Оказывает интенсивное успокаивающее, бактерицидное и себорегулирующее действие, способствует устранению акне, комедонов, постакне и шелушения, снимает...                             ",4.67,49
www.proficosmetics.ru/catalog/136732/,Маска альгинатная анти-акне / Algae Mask Anti-Acne 30 г,350,"Уменьшает воспаление, успокаивает, увлажняет и освежает кожу, способствует активной регенерации клеток, улучшает кровообращение и обмен веществ. Обладает выраженным поросуживающим эффектом. Оказывает детоксикационное и антиоксидантное действие. Активные ингредиенты: диатомовая земля, порошок...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/2553305/,Маска тканевая противовоспалительная с экстрактом каламанси 20 мл,65,"Энергия тропических фруктов для здоровья и сияния вашей кожи! Экстракт каламанси богат кислотами и витамином С. Тканевая маска с экстрактом каламанси выравнивает рельеф и тон кожи, нормализует выработку себума, оказывает антибактериальный эффект, помогает осветлить постакне, предотвращает появление...                             ",5.0,5
www.proficosmetics.ru/catalog/3077579/,Маска очищающая для проблемной кожи / Armony Mask 50 мл,1850,"Себорегулирующая противовоспалительная маска дезинфицирует, очищает, сужает поры, удаляет избытки кожного сала. Восстанавливает минеральный и водный баланс кожи, оказывает антисептическое действие, способствует быстрому заживлению повреждений, успокаивает воспаленную и раздраженную кожу. Создает...                             ",5.0,1
www.proficosmetics.ru/catalog/230913/,Маска очищающая на каолине / KAOLIN MASK 200 мл,2645,"Маска очищающая на каолине KAOLIN MASK для лица разработана специально для нормальной, комбинированной, жирной и склонной к акне кожи. Предназначена для себорегулирующих программ салонного и домашнего ухода.                             ",5.0,1
www.proficosmetics.ru/catalog/45265/,Пудра Комплексная для жирной кожи лица / Jet cosmetics 50 мл,830,"Препарат для ухода за жирной и жирной, осложненной акне кожей. Инновационный препарат твердофазной косметики, не имеющий аналогов. Состоит из 100% натуральных компонентов. Не содержит висмута, силикона, талька, консервантов, масел, отдушек и вредных красителей. Обладает превосходным декорирующим...                             ",4.7,14
www.proficosmetics.ru/catalog/25626/,Маска грязевая / Mud Mask For Oil Skin SOLAR ENERGY 75 мл,3090,"Этот продукт уникален по составу и производимому на кожу эффекту и широко используется не только косметологами, но и дерматологами, в частности, для лечения демодекоза. Благодаря уникальному составу и свойствам маска является панацеей от вечных бед:...                             ",4.73,84
www.proficosmetics.ru/catalog/147536/,Паста хлорофилл-каротиновая для лица / Homework 50 мл ,1055,"Паста хлорофилл-каротиновая для лица Homework - препарат для комплексной коррекции угревых высыпаний. Уход за жирной кожей, осложненной угревой сыпью, в т.ч.с таким явлением постакне как застойные пятна (последствие перенесенного акне). Снижает секрецию кожного сала. Устраняет сальные пробки и...                             ",4.33,6
www.proficosmetics.ru/catalog/138986/,Крем-маска Антиугревая с глиной и углём / Homework 50 мл,1540,"Эффективное средство восстановления бактериального баланса, борьбы с воспалительными элементами на фоне жирной кожи. Благодаря разогревающему эффекту маска раскрывает закупоренные поры, а адсорбирующий комплекс поглощает излишки кожного сала, очищает поры. Мощный кератолитический эффект...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/109914/,Маска Черная жемчужина / A-Clear 90 мл,2265,"Маска Черная жемчужина - активная маска с натуральной грязью Мертвого моря и растительными экстрактами с уникальной текстурой и возможностью разнообразного применения для различных типов кожи. Прекрасно удаляет избыток себума и очищает кожу, освежает цвет лица, обладает видимым подтягивающим и...                             ",5.0,2
www.proficosmetics.ru/catalog/28395/,Маска лечебная / Treatment Mask SEA WEED 75 мл,2400,"Предназначена для смешанной, жирной чувствительной и кожи с легкой степенью угревой сыпи. Применяется в динамике при коррекции акне линией «Липацид», а также при возрастных (поздних) и физиологических акне. Благодаря высокой концентрации активных ингредиентов, включающих...                             ",5.0,6
www.proficosmetics.ru/catalog/97944/,"Маска анти-акне, чайное дерево / ALGO LIGHT 30 г",160,"Маска обладает мощным успокаивающим эффектом, сужает поры, стимулирует обновление клеток и улучшает межклеточный обмен, способствует быстрому заживлению кожи. Обеспечивает длительный омолаживающий эффект. Рекомендуется для жирной, проблемной кожи. Активные ингредиенты: диатомит, альгинаты...                             ",5.0,2
www.proficosmetics.ru/catalog/787976/,Маска для глубокого очищения пор / ACNON Pore purifying mask 50 мл,2941,"Маска для глубокого очищения пор ACNON Pore purifying mask подавляет все симптомы проявления акне. Экстракт канадского кипрея, масло чайного дерева и витамин Е обладают мощнейшими антибактериальными и противовоспалительными свойствами, успокаивают и смягчают кожу, способствуя...                             ",4.33,3
www.proficosmetics.ru/catalog/3063082/,Маска для глубокого очищения Чистая кожа / Protocol 203 100 мл,4800,"Маска Чистая кожа глубоко очищает кожу, удаляет загрязнения и омертвевшие клетки, устраняет чёрные точки, нормализует выработку кожного сала, предотвращает появление жирного блеска, сужает поры. Обладает выраженным противовоспалительным, бактерицидным, увлажняющим и осветляющим свойством. Выводит...                             ",5.0,1
www.proficosmetics.ru/catalog/3114278/,Маска интенсивно очищающая / INTENSE CLEARING MASK 75 мл,3924,"Интенсивно очищающая маска на основе каолина – одна из самых востребованных в уходе за кожей любого типа, в том числе - чувствительной. Незаменимый бьюти-продукт для жирной и проблемной кожи в любом возрасте, must-have для подростков (14 +). Адсорбирует избыток кожного сала и нормализует его...                             ",5.0,1
