page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/136420/,Сыворотка Стоп акне / Anti-acne 30 г,1850,"Сыворотка «Стоп-Акне» - это средство для интенсивного и профилактического ухода за кожей, склонной к воспалениям и пигментации, в том числе при розацеа и демодекозе. Биологически активный комплекс с азелаиновой кислотой и глицином ингибирует синтез меланина, блокируя фермент тирозиназу, тем самым...                             ",4.83,13
www.proficosmetics.ru/catalog/106258/,Сыворотка антиугревая / Velour Active 30 мл,1090,"Сыворотка оказывает себорегулирующее, противовоспалительное и иммуномодулирующее действие, устраняя воспалительные элементы и препятствуя возникновению новых. Является профилактическим средством жирной себореи и акне. Входящий в состав экстракт зеленого томата с высоким содержанием томатидина,...                             ",4.75,5
www.proficosmetics.ru/catalog/3131167/,Флюид-СОС для лица анти-акне с азелаиновой кислотой / MILEO 50 мл,1998,"Флюид эффективно и значительно уменьшает проявления акне и высыпаний на коже. Снижает избыточное саловыделение на коже и матирует кожу. Каротиноиды СО2-экстракта шиповника обеспечивают ретинолоподобный эффект на коже, способствуя уменьшению высыпаний. Эфирное масло чайного дерева и азелаиновая...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136666/,Сыворотка балансирующая для проблемной кожи / Armony Serum 50 мл,3120,"Препарат для комплексного ухода за жирной и проблемной кожей обеспечивает выраженный себостатический, кератолитический и антибактериальный эффект, благодаря присутствию в его составе экстрактов коры белой ивы и корня ириса флорентийского, салициловой кислоты, сульфата цинка, концентрата мануки....                             ",4.67,6
www.proficosmetics.ru/catalog/135838/,Сыворотка Витаминный комплекс 30 мл,667,"Действие комплекса обусловлено входящими в его состав витаминами и базовыми маслами. Все витамины находятся в жирорастворимой форме и адекватной концентрации, что дает мощный пролонгированный антиоксидантный эффект. Обеспечивает коже всесторонний оздоравливающий уход. Все типы старения кожи, акне...                             ",4.76,20
www.proficosmetics.ru/catalog/2147756/,Крем-сыворотка для лица / Anti-Age Retiderm 0.25 30 г,1725,"Retiderm 0.25 - это лёгкая, кремообразная сыворотка, содержащая 0,25% активного ретинола двух видов: свободного и инкапсулированного в липосомах. Крем-сыворотка эффективно борется с морщинами и другими признаками фото- и хроностарения, пигментацией, воспалениями, потерей эластичности, расширенными...                             ",4.88,17
www.proficosmetics.ru/catalog/142173/,"Сыворотка восстанавливающая, увлажняющая 20 мл",3275,"Сыворотка восстанавливающая, увлажняющая для всех типов кожи - продукт современных биотехнологий с использованием процессов ферментации бифидобактерий и молочных протеинов, является мощным регенератом. Стимулирует процессы обновления кожи, увлажняет, оказывает интенсивное восстанавливающее...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/52689/,Сыворотка восстанавливающая с фруктовыми кислотами 30 мл,1530,"Сыворотка с содержанием фруктовых кислот обладает мягким эксфолиирующим действием. Средство эффективно размягчает верхний слой кожи, обеспечивая отшелушивание ороговевших клеток. Устраняет тусклый и безжизненный цвет лица, придавая коже сияющий и ровный тон. Сыворотка осветляет кожу и борется с...                             ",4.74,19
www.proficosmetics.ru/catalog/110100/,Сыворотка для жирной зрелой кожи / Velour AntiAge 30 мл,1205,"Препарат для жирной кожи с признаками возрастных изменений, учитывающий сохраняющуюся активность сальных желез и развивающееся увядание. Активные компоненты регулируют гидролипидный баланс и усиливают защитные свойства кожи. Входящий в состав экстракт зеленого томата с высоким содержанием...                             ",5.0,3
www.proficosmetics.ru/catalog/111741/,Сыворотка-восстановление обновляющая ночная / Renew & Repair Night Treatment Comodex 50 мл,2905,"Оказывает себорегулирующее и&amp;nbsp;противовоспалительное действие. Осветляет постакне-пигментацию и&amp;nbsp;рубцы, улучшает тон кожи в&amp;nbsp;целом. Устраняет шелушение, выравнивает рельеф, разглаживает кожу. Уменьшает частоту появления новых воспалительных элементов,...                             ",4.78,10
www.proficosmetics.ru/catalog/3100303/,Сыворотка ночная волшебная для лица / Re: Program Night Miracle Serum 30 мл,1130,"Ночная сыворотка - это средство для ухода за комбинированной и жирной проблемной кожей на основе кислот различных групп (AHA+PHA+ BHA). Сыворотка эффективно борется с акне, обновляет и отшелушивает верхний ороговевший слой кожи и очищает поры. Концентрация кислот в составе - 10%, pH=4. Действие: 1)...                             ",5.0,2
www.proficosmetics.ru/catalog/1269545/,Сыворотка-активатор антивозрастная / Protocol Alfa+ Anti-age Booster 30 мл,9500,"Уникальный запатентованный комплекс Protocol Alfa+ создан для ухода при фотостарении (вызванном УФ-лучами) и хроностарении кожи. Высокоэффективная антиоксидантная формула, действует в 5 раз эффективней чем витамин С. Снижает количество свободных радикалов более чем на 50% и замедляет процессы...                             ",5.0,1
www.proficosmetics.ru/catalog/809614/,Сыворотка липосомальная омолаживающая Эксперт времени / SESRETINAL MATURE SKIN Liposomal serum 30 мл,7070,Сыворотка липосомальная омолаживающая Эксперт времени SESRETINAL MATURE SKIN Liposomal serum рекомендованная для коррекции возрастных изменений для проблемной возрастной кожи. Не вызывает раздражения. Средство разработано с использованием технологии NANOTECH™. Ее уникальность...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/3117557/,Сыворотка для лица восстанавливающая с экстрактом секреции улитки / Snail Repair Intensive Ampoule 30 мл,1240,"Восстанавливает рельеф и структуру кожи на клеточном уровне, делает кожу более упругой и подтянутой. Обеспечивает матирующий эффект. Высокое содержание муцина улитки пособствует регенерации клеток для замедления процессов старения, борьбы с воспалениями и следами постакне....                             ",No rating,No reviews
www.proficosmetics.ru/catalog/741637/,Сыворотка интенсив для проблемной кожи / SUPER PEPTIDES 10*2 мл,577,"Сыворотка направлена на интенсивное оздоровление кожи, склонной к акне. Комплекс обеспечивает глубокое проникновение активных ингредиентов в кожу, способствует снижению роста бактерий, вызывающих акне, контролирует выработку себума. Делает кожу более чистой и спокойной. LIPACIDE C8G - эффективный...                             ",5.0,1
www.proficosmetics.ru/catalog/131552/,"Сыворотка с антибактериальным действием для жирной, воспаленной кожи / Microsilver Serum OILY SKIN 30 мл",4392,"Microsilver Serum оказывает на кожу выраженное антибактериальное, противовоспалительное и успокаивающее действие. Уменьшает количество воспалительных элементов, препятствует образованию акне и комедонов, осветляет пигментацию (в том числе и постакне), подавляет патогенную флору, оздоравливает....                             ",5.0,1
www.proficosmetics.ru/catalog/3083958/,Сыворотка-флюид для жирной и комбинированной кожи / OPTIMAL SEBOCONTROL 30 мл,603,"Легкая, нежная сыворотка – флюид предназначена для ухода за жирной, комбинированной кожей. Уменьшает жирный блеск, способствует обновлению и глубокому увлажнению кожи. Выравнивает тон и рельеф кожи. Поддерживает оптимальный гидробаланс, повышает барьерные функции и стрессоустойчивость кожи....                             ",3.0,1
