page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/136665/,Тоник балансирующий / Armony Tonic 250 мл,1750,"Тоник с нежным ароматом специально разработан для ухода за жирной и проблемной кожей. Содержит широкий спектр ингредиентов, подавляющих рост патогенной микрофлоры, способствует нормализации сосудистой проницаемости, великолепно увлажняет и восстанавливает рН, нормализует процессы кератинизации...                             ",4.94,17
www.proficosmetics.ru/catalog/147904/,Био-тоник с лактобионовой кислотой 150 мл,1080,"Тоник для лица с лактобионовой, салициловой и винной кислотой. Предназначен для предпилинговой подготовки. Выравнивает рН и дезинфицирует. Что делает: - лактобионовая кислота обеспечивает глубокое и продолжительное увлажнение; - яблочная кислота усиливает клеточный метаболизм; - синергия винной и...                             ",5.0,7
www.proficosmetics.ru/catalog/144752/,"Тоник Апельсин, увлажнение и тонизация жирной и проблемной кожи 150 мл",730,"Ежедневная тонизация жирной и проблемной кожи. Тоник выравнивает рН, сужает поры и оказывает противовоспалительное действие. Что делает: - синергия винной и салициловой кислоты выравнивает рельеф кожи. - экстракт гамамелиса регулирует деятельность сальных желез. - аллантоин успокаивает и освежает....                             ",5.0,3
www.proficosmetics.ru/catalog/111697/,Фитотоник / Slim 270 мл,1510,"Гипоаллергенный тоник с комплексом растительных экстрактов, оказывающих противовоспалительное и себостатическое действие. Освежает. Тонизирует. Нормализует рН-баланс кожи. Предотвращает появление воспалительных элементов. Благотворно влияет на обмен липидов и иммунный статус кожи. Активные...                             ",5.0,9
www.proficosmetics.ru/catalog/159541/,Тонер с салициловой кислотой / Sebum Free Toner 150 мл,444,"Балансирующий тонер для лица предназначен для жирной кожи. Гидролаты растений (розмарина, череды, чистотела, шалфея, подорожника) оказывают тонизирующее, успокаивающее и увлажняющее действие. Салициловая кислота способствует отшелушиванию омертвевших клеток, ускоряет выравнивание и обновление кожи....                             ",4.56,28
www.proficosmetics.ru/catalog/102752/,Тоник с фруктовыми кислотами / AHA - Glycolic Tonic 250 мл,1125,"Тоник для интенсивного ухода за кожей склонной к жирности, появлению акне, а также сухости и гиперкератозу. Снижает рН-кожи, способствуя замедлению развития бактерий, провоцирующих акне. Отшелушивает ороговевшие клетки эпидермиса, способствуя усилению регенерации. Стимулирует выработку собственного...                             ",4.89,99
www.proficosmetics.ru/catalog/3065073/,Тоник матирующий для жирной и смешанной кожи с пребиотиком / Unimatt+ 460 мл,1590,"Препарат на безспиртовой основе для ухода за кожей жирного и комбинированного типа, обогащен пребиотиком, способствует сокращению патогенной флоры. Регулирует секрецию себума, сокращает поры, ингибирует воспаление. Препятствует формированию комедонов, придает матовость лицу.  Характеристики...                             ",5.0,2
www.proficosmetics.ru/catalog/3074294/,Тоник балансирующий для сужения пор для жирной и проблемной кожи / Pore-Balance Toner 250 мл,735,"Средство разработано в соответствии с потребностями жирной, комбинированной и проблемной кожи с расширенными порами, склонной к появлению акне и комедонов. Эффективно удаляет остаточные загрязнения, растворяет себум, скопившийся в порах, предотвращая образование закрытых комедонов и развитие акне....                             ",4.25,4
www.proficosmetics.ru/catalog/3070302/,Тоник успокаивающий для жирной и проблемной кожи / ANTI-ACNE TONIC 250 мл,1011,"Тоник предназначен для ухода за жирной и проблемной кожей, склонной к акне. Способствует заживлению и восстановлению кожи, снимает раздражения, покраснения, успокаивает и освежает. Очищает и сужает поры, нормализует выработку себума. Выравнивает цвет лица, увлажняет и смягчает кожу. Восстанавливает...                             ",4.0,1
www.proficosmetics.ru/catalog/3105805/,Тоник лечебный для проблемной кожи В3 / Treatment Tonic For Problematic Skin B3 250 мл,1960,"Тоник применяется при проблемной коже в том числе и у подростков, угрях, акне, жирной, раздраженной коже и высыпаниях. Благодаря своему составу, оказывает сильное антибактериальное действие, снимает воспаление, не пересушивает кожу, придавая ей здоровый вид, упругость и свежесть.                             ",5.0,3
www.proficosmetics.ru/catalog/3100309/,Тоник-активатор очищающий / Re: Program Ultra Skin Activator 150 мл,875,"Очищающий тоник-активатор ULTRA SKIN помогает нормализовать состояние комбинированной и жирной проблемной кожи, регулируя работу сальных желез и препятствуя закупорке пор благодаря содержанию матирующего и антиакне-комплекса. Некомедогенная формула с содержанием НУФ (Япония) сокращает очаги...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/53093/,Тоник-лосьон очищающий для проблемной кожи / LE PRESTIGE 250 мл,3405,"Освежающий лосьон, предназначенный для ухода за проблемной кожей. Гликолевая, салициловая и молочная кислоты способствуют эксфолиации отмерших клеток эпидермиса, увлажняют, выравнивают тон кожи и сокращают размеры пор. Ментол и масло мяты обладают обезболивающим, дезинфицирующим и...                             ",5.0,4
www.proficosmetics.ru/catalog/3127833/,Тоник для сухой и чувствительной кожи / Calming Tonic For Dry And Sensitive Skin 250 мл,870,"Тоник-мист предназначен для ухода за сухой кожей, а также для любых типов кожи при состоянии обезвоженности. Благодаря содержащимся в тонике компонентам происходит активное увлажнение, смягчение, тонизация, отбеливание, регенерация, заживление, омоложение кожи. Одновременно восстанавливается баланс...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3083955/,Тоник для жирной проблемной кожи с АНА и ВНА кислотами / OPTIMAL SEBOCONTROL 150 мл,371,"Тоник предназначен для ухода за жирной, проблемной кожей. Способствует уменьшению покраснений, воспалительных элементов и сокращению пор. При ежедневном использовании обеспечивает себоконтроль, успокаивающее и заживляющее действие. Увлажняет и успокаивает кожу, повышает ее барьерные функции....                             ",5.0,4
www.proficosmetics.ru/catalog/3102095/,"Тоник для лица, голубика / Sweet Time 250 мл",285,"Для нормальной и смешанной кожи. Красивая, сияющая здоровьем кожа — это проще, чем кажется! Матирующий тоник с нежным ароматом голубики завершит процесс очищения и подготовит кожу к более эффективному воздействию сыворотки или крема. Экстракт голубики стимулирует синтез...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3131480/,Тоник для жирной и комбинированной кожи с пребиотиком / Optimal Sebocontrol 150 мл,273,"Тоник для жирной и комбинированной кожи с пребиотиком способствует уменьшению количества комедонов, избавит от покраснений и раздражений, успокоит кожу и подготовит ее к последующему косметическому уходу. Себорегулирующий комплекс (пребиотик лактулоза, биосера, салициловая кислота) и фитоэкстракты...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/70751/,Тоник матирующий сужающий поры / Matifying & Astringent Toner 200 мл,2700,"Матирующий астрингентный тоник Declare Matifying &amp; Astringent Toner – уникальное средство, создающее моментальный матирующий эффект. Тоник не содержит спирта и не сушит кожу, при этом прекрасно удаляя излишки кожного сала. Матифинг Астрингент тоник Декларе способствует сужению и очищению...                             ",4.75,4
