page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/28084/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 250 мл,3420,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99
www.proficosmetics.ru/catalog/28083/,Лосьон для растворения закрытых комедонов / Super Lotion LOTIONS 125 мл,2380,"Бесспиртовой лосьон для размягчения и растворения открытых и закрытых комедонов, выравнивания поверхности и облегчения процедуры чистки кожи. Подходит для всех типов кожи.                             ",4.69,99
www.proficosmetics.ru/catalog/28073/,Лосьон для лица / Face Lotion DOUBLE ACTION 250 мл,2330,Спиртовой лосьон для жирной и проблемной кожи лица и тела. Благодаря высокому содержанию эфирных масел не сушит кожу. Эффективно очищает кожу от загрязнений и избыточного секрета сальных желез.  Дезинфицирует.  Сокращает поры.  Ускоряет заживление повреждений кожи.  Уменьшает...                             ,5.0,33
www.proficosmetics.ru/catalog/28197/,Лосьон с гамамелисом / Hamamelis LOTIONS 250 мл,1580,"Поросуживающий, антисептический лосьон для жирной и проблемной кожи. Очищающее, антисептическое и противозудное действие. Сокращение пор, снижение секреции сальных желез. Уменьшение раздражения кожи. Активные ингредиенты: Экстракт гамамелиса оказывает противовоспалительное, антисептическое,...                             ",4.88,33
www.proficosmetics.ru/catalog/149882/,Лосьон для дезинкрустации и чистки лица / Cleansing 200 г,735,"Лосьон для дезинкрустации и чистки лица Cleansing является универсальным средством для проведения ультразвукового пилинга. Лосьон размыливает жиры в порах, очищает кожу, тем самым позволяя увеличить эффект от проведения процедуры. В состав препарата введены такие компоненты, как...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/152007/,Лосьон для глубокого очищения пор / Pore-Clean Lotion 250 мл,766,"Профессиональный лосьон. Способствует размягчению комедонов, глубоко очищает поры, обеспечивает отшелушивание верхнего рогового слоя, снимает поверхностный гиперкератоз. Вытяжка из цветов ромашки оказывает успокаивающее и бактерицидное действие на кожу, способствует быстрому снятию покраснений....                             ",4.69,16
www.proficosmetics.ru/catalog/3063617/,Лосьон для глубокого очищения пор / SERACIN 200 мл,1090,"Лосьон Серацин предназначен для безупречного очищения жирной кожи лица от излишне выделенного себума и ежедневных загрязнений. Избавляет от черных точек, оказывает мягкое отшелушивающее действие, успокаивает кожу и придает ей здоровый цвет.                             ",5.0,1
www.proficosmetics.ru/catalog/3076842/,Лосьон сужающий поры для лица / EFFACLAR 200 мл,2175,"Лосьон для лица глубоко очищает поры. Способствует сокращению их размера. Ультрамягкая эксфолиация с помощью LHA. Высокая переносимость протестирована на коже, склонной к акне. Лосьон мягко очищает, выравнивает кожу. Не приводит к образованию комедонов, не содержит масляных компонентов. Содержит...                             ",5.0,1
www.proficosmetics.ru/catalog/3080072/,Лосьон очищающий сужающий поры / Normaderm 200 мл,1765,"Идеально для женщин и мужчин, до и после 30 лет, страдающих от несовершенств кожи: закупоренные поры, неровная текстура, локальный блеск, покраснения, расширенные поры. Очищает кожу и уменьшает выработку кожного сала. Глубоко очищает поры. Уникальные активные компоненты и инновационные технологии...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3063616/,Лосьон для глубокого очищения пор / SERACIN 100 мл,735,"Лосьон Серацин предназначен для безупречного очищения жирной кожи лица от излишне выделенного себума и ежедневных загрязнений. Избавляет от черных точек, оказывает мягкое отшелушивающее действие, успокаивает кожу и придает ей здоровый цвет.                             ",5.0,1
www.proficosmetics.ru/catalog/3131717/,Лосьон для растворения закрытых комедонов / Chamomilla Recutita Flower Extract 3% 150 мл,550,"Лосьон борется с такими несовершенствами кожи, как закрытые и открытые комедоны, черные точки. Он способствует смягчению и очищению верхнего рогового слоя кожи, растворяя содержимое пор. Открывает закрытые комедоны, облегчая их удаление. Экстракт ромашки эффективно смягчает, увлажняет кожу,...                             ",No rating,No reviews
