page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/87069/,Гель-скраб для лица / EXPERT PURE GEL EXFOLIANT 75 мл ,595,"Очищающий гель-скраб  придает коже ощущение чистоты и свежести. Благодаря натуральным микрогранулам обновляет кожу, удаляя ороговевшие клетки и загрязнения. Эффективно борется с «чёрными точками», сокращает поры и контролирует выделение кожного себума. Благодаря экстракту сока Нони...                             ",5.0,7
www.proficosmetics.ru/catalog/159534/,Скраб с диатомовыми водорослями / Homework VELOUR AQUAPEEL 100 мл ,930,Скраб с диатомовыми водорослями Homework VELOUR AQUAPEEL - мягкий гелевый пилинг для глубокого очищения лица при жирном и комбинированном типе кожи. Деликатно очищает крупные поры натуральным абразивом из диатомовых водорослей. Экстракты ламинарии и фукуса насыщают клетки жизненно важными...                             ,4.0,3
www.proficosmetics.ru/catalog/3117666/,Скраб с частицами коры цитрусовых для лица / Line Repair Nutrient Wood Pulp Scrub 75 мл,2375,"Скраб с кремовой текстурой деликатно удаляет загрязнения с поверхности кожи и из глубины пор, осветляет тон, делает кожу гладкой и свежей. Содержит уникальные гранулы из древесной целлюлозы – биоразлагаемые частички, богатые биофлавоноидами цитрусовых. Они действуют не только как эксфолиант, но и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3052285/,Маска-скраб для лица с углем и гиалуроновой кислотой / SEA THERAPY 75 мл,1657,"Маска-скраб для лица с углем и гиалуроновой кислотой SEA THERAPY - функциональное средство для очищения на ежедневной и регулярной основе «3 в 1». Мягкое очищающее, абсорбирующее и эксфолиирующее действие каолина и угольной пудры с частичками оливковых косточек дополняется выраженным детокс...                             ",5.0,2
www.proficosmetics.ru/catalog/3002839/,"Скраб для очищения пор с центеллой азиатской, в пирамидках / CICA FARM 7 г х 25 шт",1406,"Скраб в пирамидках с мягкой текстурой (40% соды) деликатно очищает кожу от загрязнений, ороговевших клеток и сальных пробок. AHA, BHA и PHA кислоты способствуют обновлению кожи, выравнивают её поверхность, улучшают цвет лица. Экстракты центеллы азиатской и мадекассовая кислота оказывают...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124123/,Убтан кокосовый / Matsesta Coconut 100 мл,312,"Убтан с кокосовым молоком активно питает и увлажняет кожу, нежно отшелушивает ороговевшие чешуйки, делая кожу эластичной и упругой. Компоненты полностью натурального происхождения способствуют восстановлению ph-баланса эпидермиса. Кокос содержит олеиновую кислоту, которая удерживает влагу в коже,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124124/,Убтан шоколадный / Matsesta Chocolate 100 мл,312,"Шоколадный убтан великолепно отшелушивает и очищает кожу, оказывает антивозрастное действие. Уникальная водоросль в составе улучшает выработку коллагена на клеточном уровне, делает кожу эластичнее, возвращает ей упругость, затормаживает старение, приводит в норму липидный баланс.                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124125/,Убтан с 12 алтайскими травами Лемонграсс / Matsesta Lemongrass 100 мл,312,"Убтан, содержащий 12 алтайских целебных трав, великолепно очищает и отшелушивает эпидермис, оказывает противовоспалительное и антисептическое действие, регулирует работу сальных желез, делает кожу более эластичной, насыщает ее влагой. Присутствующая в составе лимонная цедра и лемонграсс...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124126/,Убтан с 12 алтайскими травами Лаванда / Matsesta Lavanda 100 мл,312,"Убтан, содержащий 12 алтайских целебных трав, прекрасно очищает и отшелушивает эпидермис, оказывает на кожу регенерирующее и успокаивающее действие, избавляет от раздражений. Лаванда освежает и расслабляет, улучшает сосудистое кровообращение. Клетки лучше насыщаются кислородом, из организма...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3076895/,Скраб мягкий для всех типов кожи / PHYSIOLOGICAL CLEANSERS 50 мл,2055,"Скраб мягкий для всех типов кожи выравнивает поверхность и бережно очищает кожу. Не содержит мыла, спирта, красителей, парабенов. Подходит для чувствительной кожи любого типа. Высокая переносимость средства. На основе термальной воды La Roche-Posay. Физиологический уровень pH 5,5.                             ",No rating,No reviews
www.proficosmetics.ru/catalog/119010/,Скраб очищающий сахарный Пиг-ноуз / Pig-nose Clear Black Head Cleansing Sugar Scrub 30 мл,712,"Сахарный скраб ""Пиг-ноуз"" прекрасно очищает кожу лица, удаляя загрязнения из пор, выравнивая поверхность кожи, регулируя секрецию сальных желез. Благодаря небольшому размеру и ровную гладкую поверхности, частички средства не травмируют кожу при использовании. Розовая глина в составе...                             ",5.0,6
www.proficosmetics.ru/catalog/3046252/,"Скраб для очищения пор с центеллой азиатской, в пирамидках / CICA FARM 7 г",60,"Скраб для лица с содой и центеллой азиатской Farmstay Cica Farm Baking Powder Pore Scrub в милых пирамидках идеально отшелушивает ороговевшие клетки эпидермиса, очищает поры от загрязнений и остатков косметики, выравнивает микрорельеф, придает коже гладкость и мягкость. Содержит кислотный комплекс...                             ",4.75,8
www.proficosmetics.ru/catalog/3129625/,Скраб для всех типов кожи лица / Face Scrubs 150 гр,2915,"Скраб для лица с микрокапсулами жожоба - превосходное отшелушивающее средство для всех типов кожи, в том числе для чувствительной. Обладая максимально деликатным воздействием, он обеспечивает бережное, но тщательное очищение от скопившихся отмерших клеток загрязнений. Щадящий отшелушивающий эффект...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3129622/,Скраб для сухой кожи лица с мелкими частицами / Face Scrubs 150 гр,1400,"Скраб для сухой кожи лица с мелкими частицами - универсальный продукт, станет верным помощником в бережном очищении кожи, используя который легко и просто решить проблему сального блеска, прыщей и черных точек. Этот мелкозернистый скраб для лица мягко отшелушивает отмершие клетки, удаляет избыток...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3002843/,"Скраб для очищения пор с комплексом из 9 пептидов, в пирамидках / BLACK SNAIL & PEPTIDE9 7 г х 25 шт",1406,"Мягкий скраб для лица в пирамидках состоит из мельчайших крупинок соды, комплекса кислот и комплекса пептидов и за счет этого эффективно очищает поры от загрязнений, обеспечивает деликатное отшелушивающее и очищающее действие. Пептидный комплекс из 9 видов пептидов великолепно оживляет кожу и дает...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3131119/,Скраб утренний энзимный для лица / Pro-Balance Morning Enzyme Wash 50 гр,3592,"Легкая пенящаяся энзимная пудра глубоко очищает и отшелушивает кожу, способствуя сужению пор. Подойдет даже для чувствительной кожи за счет абсолютно деликатного и не травмирующего действия. Выравнивает тон и рельеф кожи, осветляет застойные и пигментные пятна. Уменьшает гиперкератоз, сокращает...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3131120/,Скраб ночной энзимный для лица / Pro-Balance Night Enzyme Wash 50 гр,3592,"Отшелушивающий пилинг на основе древесного угля эффективно удаляет омертвевшие клетки и загрязнения, тщательно очищая кожу. За счет специальной технологии инкапсуляции, частицы древесного угля глубоко, но деликатно очищают поры, препятствуя образованию комедонов и воспалительных элементов....                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3129623/,Скраб для жирной кожи лица с крупными частицами / Face Scrubs 150 гр,2900,"Скраб для жирной кожи лица с крупными частицами рекомендуется для смешанной, жирной и угревой кожи. Прекрасно отшелушивает кожу и удаляет любые загрязнения. Скраб эффективно уравновешивает тон кожи и разглаживает ее. Назначение: комбинированная и жирная кожа. Действие: отшелушивает эпидермис,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/111742/,Скраб-эксфолиатор выравнивающий / Scrub & Smooth Exfoliator Comodex 75 мл,3120,"Скраб с плотной насыщенной текстурой содержит измельченные косточки абрикоса – самый активный абразив в составе средств для глубокого очищения Christina. Поэтому его по достоинству оценят обладатели толстой, жирной и комбинированной кожи. Удаляет омертвевшие клетки рогового слоя, омолаживая кожу,...                             ",5.0,3
