page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/134302/,Тоник для нормальной и комбинированной кожи лица / COMBI TONER 400 мл,1835,"Тоник для нормальной и комбинированной кожи лица COMBI TONER - очищающий тоник улучшает общее состояние кожи и восстанавливает природное равновесие: сужает поры, уменьшает сальность Т-зоны и восстанавливает водный баланс кожи. 1. Комплекс для ухода за себорейной кожей нормализует выработку кожного...                             ",5.0,5
www.proficosmetics.ru/catalog/111697/,Фитотоник / Slim 270 мл,1510,"Гипоаллергенный тоник с комплексом растительных экстрактов, оказывающих противовоспалительное и себостатическое действие. Освежает. Тонизирует. Нормализует рН-баланс кожи. Предотвращает появление воспалительных элементов. Благотворно влияет на обмен липидов и иммунный статус кожи. Активные...                             ",5.0,9
www.proficosmetics.ru/catalog/157300/,Тоник очищающий для жирной и проблемной кожи лица 200 мл,1053,"Тоник очищающий для жирной и проблемной кожи лица - специальное средство себорегулирующего, антибактериального и противовоспалительного действия для ухода за жирной и проблемной кожей, склонной к акне. Бережно очищает кожу, препятствуя развитию патогенной микрофлоры. Активный комплекс олеаноловой и...                             ",5.0,5
www.proficosmetics.ru/catalog/3070302/,Тоник успокаивающий для жирной и проблемной кожи / ANTI-ACNE TONIC 250 мл,1011,"Тоник предназначен для ухода за жирной и проблемной кожей, склонной к акне. Способствует заживлению и восстановлению кожи, снимает раздражения, покраснения, успокаивает и освежает. Очищает и сужает поры, нормализует выработку себума. Выравнивает цвет лица, увлажняет и смягчает кожу. Восстанавливает...                             ",4.0,1
www.proficosmetics.ru/catalog/3100328/,Тоник обновляющий с AHA-BHA кислотами Совершенное сияние / Re: Balance Perfect Glow Exfoliating Tonic 150 мл,787,"Глубоко очищающий тоник-пилинг для лица с комплексом AHA+BHA кислот оказывает мягкий пилинг-эффект и обновляет все слои кожи, улучшая и выравнивая ее рельеф и тон. Рекомендуется для комбинированной и нормальной кожи. Работает как на поверхности эпидермиса, удаляя ороговевшие клетки, так и внутри...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3114271/,Тоник очищающий и сужающий поры / PURIFYING TONIC 200 мл,3136,"Чистая, увлажненная, ухоженная кожа с незаметными порами и без воспалений – в любом возрасте! Примерно с 14 лет, когда кожа начинает меняться не в лучшую сторону – появляются сальный блеск и первые юношеские угри - мягкий, не содержащий спирта активный лосьон-тоник поможет сохранить кожу здоровой и...                             ",5.0,2
www.proficosmetics.ru/catalog/3100309/,Тоник-активатор очищающий / Re: Program Ultra Skin Activator 150 мл,875,"Очищающий тоник-активатор ULTRA SKIN помогает нормализовать состояние комбинированной и жирной проблемной кожи, регулируя работу сальных желез и препятствуя закупорке пор благодаря содержанию матирующего и антиакне-комплекса. Некомедогенная формула с содержанием НУФ (Япония) сокращает очаги...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3131479/,Тонер матирующий пудровый для лица / Optimal Sebocontrol 55 мл,453,"Матирующий пудровый тонер специально разработан для ухода за комбинированной, жирной и проблемной кожей. В составе тонера содержится мельчайшая пудра, которая абсорбирует кожный жир и позволяет контролировать выделение себума, обеспечивая длительный эффект матирования. Цинк нормализует работу...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3131480/,Тоник для жирной и комбинированной кожи с пребиотиком / Optimal Sebocontrol 150 мл,273,"Тоник для жирной и комбинированной кожи с пребиотиком способствует уменьшению количества комедонов, избавит от покраснений и раздражений, успокоит кожу и подготовит ее к последующему косметическому уходу. Себорегулирующий комплекс (пребиотик лактулоза, биосера, салициловая кислота) и фитоэкстракты...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3063649/,Тоник отшелушивающий anti-age / STEM CELLS 200 мл,990,"Молодость и здоровье кожи напрямую зависят от процессов регенерации клеток. Папаин, АНА-кислоты мякоти лайма и стволовые клетки красного винограда, работая в синергии, делают тоник Стволовые клетки винограда прекрасным средством для щадящего пилинга и обновления кожи. Действие тоника: •...                             ",No rating,No reviews
