page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/72382/,Крем для чувствительной кожи склонной к куперозу 50 мл,730,"Действие: крем предназначен для ухода за чувствительной кожей, склонной к куперозу, повышения ее устойчивости к внешним раздражителям. Регулярное применение крема эффективно выравнивает цвет и рельеф кожи, дарит ощущение комфорта и свежести. Рекомендуется для ухода за кожей, склонной к куперозу и...                             ",4.48,23
www.proficosmetics.ru/catalog/914967/,"Крем капилляропротектор для кожи склонной к куперозу, усиленная формула 50 мл",581,"Крем капилляропротектор, усиленная формула, обеспечивает эффективный комплексный уход за кожей, имеющей склонность к куперозу и покраснениям. Обладает выраженным успокаивающим, увлажняющим и восстанавливающим действием. Способствует уменьшению интенсивности покраснения кожи, связанного с наличием...                             ",4.73,11
www.proficosmetics.ru/catalog/3123598/,Крем интенсивный для чувствительной кожи с куперозом / Couperose Intensive Cream 50 мл,479,"Профессиональная формула крема с капилляропротекторными свойствами обеспечивает эффективный комплексный уход за чувствительной кожей, имеющей склонность к куперозу и покраснениям. Уникальное сочетание активных компонентов в составе крема обеспечивает направленное действие на борьбу с куперозом:...                             ",5.0,2
www.proficosmetics.ru/catalog/448612/,Крем интенсивный против купероза кожи / Couperose Solution 50 мл,7450,"Специально разработанный и дерматологически протестированный крем для ухода за чувствительной кожей с симптомами купероза и розацеа. Обладает противоаллергическим действием, улучшает микроциркуляцию, укрепляет стенки сосудов и собственную систему реструктуризации кожи. Предотвращает развитие...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3091743/,Крем-уход насыщенный для лица / Sensifine AR 40 мл,1645,"Благодаря уникальной формуле Сенсифин AR крем мгновенно освежает и обеспечивает эффект прохлады, возвращая чувство комфорта. Инновационный компонент Эндотелиол® 2,5% уменьшает покраснения, видимость мелких сосудов, улучшает микроциркуляцию в коже, предупреждает появление новых сосудов. Экстракт...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3065582/,Крем от купероза антиружер / FORT 30 мл,2160,"Уменьшает выраженность капиллярной сеточки, успокаивает кожу, подавляет неоангиогенез, зеленоватый цвет крема позволяет скрыть красноту кожи. Лечебное средство для чувствительной кожи с локальным покраснениям и с заметной капиллярной сеточкой.                             ",No rating,No reviews
www.proficosmetics.ru/catalog/188380/,Крем защитный для чувствительной кожи и кожи с куперозом / Clarte & Comfort REGULAR CARE 50 мл,9524,"Активный крем воздействует на причины появления сосудистой сеточки, улучшает микроциркуляцию, укрепляет и сужает стенки сосудов, снижает их проницаемость, снимает отёчность, интенсивно увлажняет и питает кожу. Обладает насыщенной, при этом нежирной текстурой и освежающим ароматом. Рекомендуется для...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136662/,Крем успокаивающий / Delicate Cream 50 мл,3290,"Крем разработан специально для облегчения состояния раздражённой, покрасневшей или чувствительной кожи. Он образует физиологическую пленку на коже, оберегая ее от действия внешних агрессивных факторов. Обладает выраженным противовоспалительным действием, регулирует водный баланс, стимулирует...                             ",5.0,3
www.proficosmetics.ru/catalog/86112/,Крем Красный клевер 50 мл,1340,"Легкий питательный крем разработан для ухода за чувствительной кожей склонной к куперозу. Экстракты трав комплексно воздействуют на кожу. Красный клевер повышает тонус сосудов. Тимьян уменьшает красноту и успокаивает кожу. Рутин нормализует проницаемость капилляров, что способствует устранению...                             ",4.79,15
www.proficosmetics.ru/catalog/113924/,Крем солнцезащитный для гиперчувствительной кожи SPF 50 / BIOGENA TAE-X ROSE 60 мл,4248,"Максимальная защита кожи при куперозе и розацеа. Эксклюзивная система фильтров полностью экранирует UVA, UVB, наиболее опасные для поверхностных капилляров. Благодаря активному действию натурального лютеина блокируется и синяя часть спектра. TAE-X Rose содержит феруловую кислоту и витамин Е. Эти...                             ",No rating,No reviews
