page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/136395/,Гель антикуперозный / Selective 30 г,1170,"Благодаря уникальному сочетанию активных ингредиентов гель эффективно воздействует на сосуды, снимает покраснение кожи, восстанавливает микроциркуляцию, рассасывает сосудистые звездочки, возвращая лицу гладкость, красоту и естественный цвет. Показания: для всех типов кожи с целью уменьшения...                             ",4.33,4
www.proficosmetics.ru/catalog/136396/,Гель антикуперозный / Selective 100 г,2090,"Благодаря уникальному сочетанию активных ингредиентов гель эффективно воздействует на сосуды, снимает покраснение кожи, восстанавливает микроциркуляцию, рассасывает сосудистые звездочки, возвращая лицу гладкость, красоту и естественный цвет. Показания: для всех типов кожи с целью уменьшения...                             ",4.75,4
www.proficosmetics.ru/catalog/3114370/,Гель очищающий успокаивающий / DELICATE CLEANSER GEL 250 мл,1940,"Гель для очищения чувствительной кожи, склонной к раздражениям, куперозу или розацеа. В основу препарата входят растительные ПАВ, которые деликатно и эффективно очищают нежную кожу, без создания ощущения раздражения, сухости и стянутости. Гель содержит запатентованный комплекс Gatulin...                             ",5.0,1
www.proficosmetics.ru/catalog/72327/,"Гель ферментативный с папаином для холодного распаривания кожи, с дозатором 300 мл",705,"Гель предназначен для размягчения верхнего слоя кожи перед процедурой чистки. Основным действующим веществом является папаин - фермент, эффективно расщепляющий ороговевшие чешуйки кожи. Пилинг отшелушивает омертвевшие клетки с поверхности кожи и глубоко очищает поры, препятствуя их закупорке....                             ",4.77,61
www.proficosmetics.ru/catalog/50460/,Гель успокаивающий / Anticouperose 50 мл,1762,"Специальное средство с высоким содержанием активных компонентов для кожи с выраженными признаками купероза и ТАЭ. Рекомендуется для любого типа кожи, особенно для сухой, чувствительной и воспаленной. В аппаратных методиках является необходимым элементом для процедуры лазерной, фото- и...                             ",5.0,6
www.proficosmetics.ru/catalog/161447/,Гель увлажняющий для лица / AZELAC 50 мл,4755,"Увлажняющий, легкий гель, с высокой толерантностью благодаря уровню pH 5.5. Терапия для кожи с розацеа, покраснениями, куперозом и/или склонной к акне. Аzeloglicina ® сочетает свойства азелаиновой кислоты и увлажняющее действие глицина. Обладает успокаивающим...                             ",4.57,7
www.proficosmetics.ru/catalog/87083/,Гель-пилинг очищающий холодное гидрирование Аква 24 100 мл,825,"Пилинговый гель для глубокого очищения. Не вызывает раздражения и гиперемии. Очищает и увлажняет кожу, выравнивает тон кожи. Мягкий очищающий гель на основе папаина, бетаина и молочной кислоты. Высокий процент содержания бетаина в составе препарата оказывает гипергидратирующее действие и разрыхляет...                             ",5.0,4
www.proficosmetics.ru/catalog/50885/,Гель натуральный алоэ вера / Pure Soothing Aloe Vera Natural Gel BARBADOS 250 мл,1950,Является основой для проведения процедуры «Прохладного гидрирования». Натуральное консервированное желе алоэ (не восстановленное из порошка!) с добавлением герани и аллантоина. Применение препарата целесообразно для всех типов кожи. Обладает мягким кератолитическим действием. Гель обладает...                             ,5.0,4
www.proficosmetics.ru/catalog/39026/,Гель алоэ / Alo Gel VARIETIES 250 мл,4100,"Увлажняющий гель для всех типов кожи. Тонизирует и подтягивает, успокаивает, способствует восстановлению кожи. Многофункциональный насыщенный препарат с приятным ароматом. Подходит для всех типов кожи. Одинаково любим мужчинами и женщинами. Часто используется как увлажняющее и восстанавливающее...                             ",5.0,28
www.proficosmetics.ru/catalog/41866/,Гель алоэ / Alo Gel VARIETIES 70 мл,2210,"Увлажняющий гель для всех типов кожи. Тонизирует и подтягивает, успокаивает, способствует восстановлению кожи. Многофункциональный насыщенный препарат с приятным ароматом. Подходит для всех типов кожи. Одинаково любим мужчинами и женщинами. Часто используется как увлажняющее и восстанавливающее...                             ",5.0,28
www.proficosmetics.ru/catalog/37965/,Гель для зоны вокруг глаз / Eye Zone Treatment Forever Young 30 мл,4890,"Легкий гель с витаминами, антиоксидантами, растительными и увлажняющими компонентами прекрасно справляется с первыми признаками старения кожи вокруг глаз: глубоко увлажняет, устраняет отечность, заметно уменьшает выраженность морщин и темных кругов. Препятствует негативному воздействию факторов...                             ",5.0,2
www.proficosmetics.ru/catalog/3135349/,Гель азуленовый очищающий 200 мл,3685,"Прозрачный легкий гель с приятным ароматом предназначен для умывания и снятия макияжа, подходит для всех типов кожи, даже чувствительной и раздраженной. Содержит эсцин, экстракты иглицы понтийской и центеллы азиатской, которые укрепляют стенки сосудов и нормализуют микроциркуляцию. Препарат...                             ",No rating,No reviews
