page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/134259/,Маска антикупероз для проблемной кожи лица / BLEMISH CONTROL MASK 150 мл,4460,"Маска антикупероз для проблемной кожи лица BLEMISH: CONTROL MASK прекрасно тонизирует сосуды и устраняет отеки, снимает покраснения и выравнивает цвет лица. Сочетание высокоэффективных компонентов и целебных растительных экстрактов интенсивно восстанавливает ослабленную и атоничную кожу, укрепляет...                             ",4.0,2
www.proficosmetics.ru/catalog/127513/,Маска суперальгинатная противокуперозная / Perfect Algae Homework 17 г + 50 мл,350,"Пластифицирующая маска для ухода за тонкой чувствительной кожей с выраженной сосудистой сеткой. Богатый комплекс из натуральных компонентов (экстракт конского каштана, листья шалфея, плоды боярышника, ламинария, лимон, чай зелёный, петрушка) нормализует проницаемость капилляров, улучшает...                             ",3.86,7
www.proficosmetics.ru/catalog/3123594/,Маска корректирующая для чувствительной кожи с куперозом / Couperose Active Mask 200 мл,1150,"Корректирующая маска с выраженным охлаждающим и успокаивающим эффектами разработана для ухода за чувствительной кожей, с признаками купероза. Формула с пантенолом, ниацинамидом и биофлавоноидом экстракта корня солодки способствует сокращению красноты и быстрому восстановлению комфортных ощущений на...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/43663/,Маска альгинатная успокаивающая антикуперозная Морской бриз 30 г,131,"Альгинатная успокаивающая антикуперозная маска с Черникой, витамином С и Миоксинолом. Основа маски - натуральные морские водоросли и минералы. Черника и витамин С оказывают мягкое комплексное воздействие на кожу лица, с выраженным успокаивающим эффектом. Нормализует пигментацию, восстанавливает...                             ",4.8,11
www.proficosmetics.ru/catalog/3124147/,Маска укрепляющая сосуды для чувствительной кожи лица / Matsesta Anti Couperose Mask 50 мл,256,"Способствует укреплению стенок капилляров, предупреждает появление и разрастание телеангиэктазий – видимых сосудиков на лице, тонизирует, помогает улучшить состояние повреждённых капилляров и восстановить микроциркуляцию, осветляет «сосудистые звездочки», глубоко увлажняет, борется с первыми...                             ",3.0,1
www.proficosmetics.ru/catalog/81905/,Маска противокуперозная (шаг 6c) / Anti rougeurs mask 6c Bio Phyto 250 мл,7390,Маска противокуперозная (шаг 6c). Эффективно устраняет проявления гиперемии и снимает отечность. Укрепляет стенки кровеносных сосудов. Придает коже свежий и отдохнувший вид.                             ,5.0,9
www.proficosmetics.ru/catalog/247056/,Пластификатор противокуперозный омолаживающий и укрепляющий сосуды с коллоидным золотом № 17 30 г,530,"Пластификатор ""выталкивает"" морщины на поверхность, осуществляя заметный лифтинг-эффект, выравнивает глубокие и мелкие морщины. Ионы коллоидного золота активизируют процессы омоложения (выработку коллагена), моделируют и поддерживают овал лица, улучшают кровообращение, укрепляют стенки...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/193159/,Маска Витамин С 100 мл,1930,Маска с активной формулой витамина С для регуляции выработки меланина. Эффективна для всех типов кожи с пигментацией. Назначение: - Блокирует выработку меланина в клетках; - Отбеливает пигментные пятна; - Стимулирует выработку коллагена; - Увеличивает сопротивляемость кожи к УФ-излучению. Что...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/53113/,Маска фруктовая / LE PRESTIGE 100 мл,4225,"Гель-маска с нежной тающей текстурой для любого типа кожи и возраста. Обладает увлажняющим, противовоспалительным, смягчающим и капилляроукрепляющим действием. Устраняет шелушение и раздражение, восстанавливает естественный уровень увлажненности кожи и повышает ее тонус. Экстракты липы, мальвы и...                             ",5.0,10
www.proficosmetics.ru/catalog/3055635/,Гель-маска с розовым маслом / Your Grace 50 мл,1820,"Невесомая гелевая маска мягким облаком ложится на кожу, мгновенно создавая ощущение комфорта. Нежный аромат розы успокаивает, оказывает расслабляющее действие. Ваша кожа насыщается влагой, становится упругой и бархатистой. Розовое масло повышает тургор и эластичность кожи, улучшает состояние...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/72365/,Крем-маска успокаивающая для всех типов кожи 300 мл,1210,"Успокаивающая крем-маска подходит для кожи любого типа и предназначена для эффективного восстановления кожи после проведения пилингов. Маска глубоко увлажняет и питает кожу, запуская процессы регенерации. Способствует обновлению кожи, разглаживанию морщин и устранению заломов. Маска обладает мощным...                             ",4.86,38
www.proficosmetics.ru/catalog/62598/,"Маска альгинатная для лица, черника + витамин С 25 г",295,"Укрепляет стенки сосудов, улучшает микроциркуляцию, подавляет активность свободных радикалов, успокаивает кожу. Маска рекомендована для чувствительной кожи и эффективна в программах профилактики купероза. Рекомендуется курсовое применение. Активные ингредиенты: диатомовая земля, альгинат натрия,...                             ",5.0,8
www.proficosmetics.ru/catalog/130462/,Маска Красный клевер 100 мл,2250,"Маска разработана для кожи склонной к покраснению и раздражению. Фитоэстрогены сои активизируют микроциркуляцию и повышают тонус. Витамин С стабилизирует поверхностные капилляры и укрепляет их стенку. Масло косточки винограда усиливает защитные функции, восстанавливая липидный барьер и тургор кожи....                             ",4.57,7
www.proficosmetics.ru/catalog/50777/,Маска Миртовая / Myrtle Mask ALODEM 60 мл,1830,"Гелевая маска с миртовым маслом, обладает приятным успокаивающим запахом. Особенно рекомендуется для куперозной, чувствительной кожи. Присутствие миртового масла предельно уменьшает в составе препарата дозу консервантов, что, в свою очередь, обеспечивает эффективное применение для самой...                             ",4.76,19
www.proficosmetics.ru/catalog/3124937/,Маска успокаивающая против покраснений Антикупероз / Beauty Style Harmony 250 мл ,1460,"Кремообразная маска с эффектом консилера для интенсивного ухода за реактивной, раздраженной кожей. Рекомендована при куперозе и с целью профилактики. Успокаивает, увлажняет, выравнивает тон кожи, предупреждает развитие сосудистой сеточки и гиперемии. Плотный препарат на основе регенерирующих,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3124949/,Маска увлажняющая с экстрактом периллы Эффект филлера / Beauty Style 30 мл,119,"Тканевая маска с насыщенным увлажняющим действием. Моментально восстанавливает водный баланс кожи любого типа. Экстракт периллы в комплексе с другими растительными экстрактами снижает окислительный стресс кожи, дарит ухоженность, разглаживает мелкие морщинки, осветляет и выравнивает тон лица,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3065672/,Маска минеральная грязевая для лица с алоэ вера и дуналиеллой 12 мл,105,"Минерально-грязевая маска для лица, созданная при соблюдении всех этичных канонов, на 100% утоляет жажду кожи и дарит ей желанное ощущение свежести! В состав средства входит природное ухаживающее средство — грязь Мертвого моря, которая, вытягивая токсины, глубоко очищает кожу лица и бережно за ней...                             ",5.0,5
www.proficosmetics.ru/catalog/129090/,"Крем-маска инновационная увлажняющая, мновенно успокаивающая / Immediate Calming SOS Mask INSPIRA ABSOLUE 50 мл",4865,"Инновационная маска, быстро восстанавливающая стрессированную кожу. Мгновенно заметное успокаивающее и противовоспалительное действие. Интенсивное и пролонгированное увлажнение кожи (эффект длится 72 часа). Защита клеток от свободных радикалов. Разглаживание тонких линий и морщин. Уменьшение...                             ",5.0,1
www.proficosmetics.ru/catalog/51468/,Гель-маска коллагеновая с софорой японской / Express Protect 30 мл,1485,"Способствует уменьшению признаков купероза благодаря экстракту софоры японской, укрепляет стенки капилляров и улучшает кровообращение, устраняет синяки и отеки. Натуральный трехспиральный коллаген повышает тургор и эластичность, улучшает цвет и выравнивает микрорельеф кожи. Активные ингредиенты:...                             ",4.88,8
