page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/105270/,Пилинг Lactobionic Green 5% 30 мл,2340,"Пилинг LACTOBIONIC оказывает комплексное воздействие на кожу. Благодаря минимальному раздражающему эффекту возможно применение и для чувствительной кожи с признаками купероза. Синергия лактобионовой и миндальной кислот мягко отшелушивает ороговевшие клетки, способствует более глубокому...                             ",5.0,27
www.proficosmetics.ru/catalog/106307/,Эксфолиант для очищения и микрошлифовки кожи / ESTER C Daily RICE Exfoliator 50 мл,3120,Уникальная пудра-эксфолиант на основе рисовых ферментов нежно удаляет мёртвые клетки и мгновенно обеспечивает гладкую поверхность и ровный цвет кожи без раздражения. Осветляет и выравнивает тон кожи. Уникальный омолаживающий комплекс эффективно выравнивает текстуру кожи...                             ,4.96,25
www.proficosmetics.ru/catalog/31312/,Скраб энзимный для лица / CLEAN & ACTIVE 50 мл,2740,"Нежная кремовая текстура энзимного пилинга позволяет использовать его для любого типа кожи, в том числе чувствительной. Энзимы гидролизованных дрожжей мягко и эффективно удаляют омертвевшие клетки кожи, нормализуют работу сальных желез, оказывают антибактериальное действие. Энзимный пилинг делает...                             ",5.0,4
www.proficosmetics.ru/catalog/136748/,Пилинг с гликолевой кислотой / Glycolev 6*3 мл,1090,"Препарат GLYCOLEV имеет гелевую структуру, что обеспечивает равномерное нанесение на кожу. Глубоко очищает кожу, уменьшает поры, корректирует возрастные изменения (морщины, пигментные пятна, уплотнение кожи), дает постепенное осветление, смягчение и обновление, подготавливает кожу к применению...                             ",4.86,7
www.proficosmetics.ru/catalog/51520/,Пилинг с коллагеназой / Natural Peel 150 мл,1020,"Рекомендуется для проблемной кожи. Каолин адсорбирует кожное сало, выводит токсины, насыщает микроэлементами, мягко отшелушивает, является природным антисептиком. Протеолитический фермент коллагеназа избирательно расщепляет межклеточные связи, тем самым удаляя верхние слои эпидермиса, очищает поры....                             ",4.82,18
www.proficosmetics.ru/catalog/136750/,Пилинг с папаином для лица и тела / Peeling Papain 200 мл,3650,"Используется для лица и тела. Эффективный, комфортный и безопасный PEELING PAPAIN глубоко очищает кожу, удаляя омертвевшие клетки эпидермиса, выравнивает тон, осветляет и питает кожу. Результат применения препарата - обновлённая, сияющая кожа, дающая приятное ощущение мягкости и эластичности....                             ",5.0,2
www.proficosmetics.ru/catalog/29643/,Крем отшелушивающий / Peeling Cream LACTOLAN 70 мл,3470,"Поверхностный ферментативный пилинг-крем типа гоммаж. Подходит для всех типов кожи, кроме кожи с воспалительными элементами. Эффективно отшелушивает роговые клетки, устраняет гиперкератоз, выравнивает поверхность кожи. Удаляет открытые комедоны. Способствует обновлению эпидермиса, улучшает текстуру...                             ",4.84,99
www.proficosmetics.ru/catalog/643441/,Гель мульти-пилинг для лица / ACNON 120 мл,4182,"Уникальный комплексный пилинг поверхностной глубины воздействия на основе альфа- и бета-гидрокси кислот оказывает отшелушивающее, противовоспалительное, антибактериальное и антипаразитарное, осветляющее и депигментирующее действие, размягчает роговой слой кожи, обеспечивая ровный рельеф и цвет...                             ",5.0,4
www.proficosmetics.ru/catalog/3123590/,Пилинг-биоревитализант для зрелой кожи / Lifting Renew BioPeel 100 мл,1456,"Важно! Специальный продукт, только для профессионального применения. Профессиональный пилинг нового поколения с биоревитализирующим действием на основе молочной кислоты, гиалуроновой кислоты и ДМАЕ (диметиламиноэтанола) разработан для увядающей зрелой кожи, с видимыми признаками старения, снижением...                             ",5.0,1
www.proficosmetics.ru/catalog/72332/,"Пилинг брусничный для сухой и чувствительной кожи АНА 30,5% Ph 2,3 100 мл",985,"Рекомендуется: для коррекции физиологического и фотостарения тонкой обезвоженной кожи и кожи, склонной к куперозу. для коррекции возрастных изменений в периорбитальной области в качестве подготавливающих средств к процедурам пилинга высокой концентрации. Возможно применение в качестве всесезонного...                             ",4.86,31
